year,ssp126_co2_ppm,ssp126_co2_PgC,ssp126_ch4_ppb,ssp126_ch4_PgC_equiv,ssp126_n2o_ppb,ssp126_n2o_PgC_equiv,ssp126_total_PgC_equiv,ssp245_co2_ppm,ssp245_co2_PgC,ssp245_ch4_ppb,ssp245_ch4_PgC_equiv,ssp245_n2o_ppb,ssp245_n2o_PgC_equiv,ssp245_total_PgC_equiv,ssp370_co2_ppm,ssp370_co2_PgC,ssp370_ch4_ppb,ssp370_ch4_PgC_equiv,ssp370_n2o_ppb,ssp370_n2o_PgC_equiv,ssp370_total_PgC_equiv,ssp585_co2_ppm,ssp585_co2_PgC,ssp585_ch4_ppb,ssp585_ch4_PgC_equiv,ssp585_n2o_ppb,ssp585_n2o_PgC_equiv,ssp585_total_PgC_equiv
2,420.0372543,892.1591282,1883.585012,119.22189,333.1720759,193.1904946,1204.571513,420.4425735,893.0200262,1932.900736,122.3433387,333.6809769,193.4855818,1208.848947,422.1290232,896.6020453,1955.779775,123.791472,333.9006475,193.6129582,1214.006476,421.6142069,895.5085756,1924.767324,121.8285327,333.8734538,193.5971899,1210.934298
3,422.7210999,897.8596161,1878.576162,118.9048539,333.7720642,193.538399,1210.302869,423.3709844,899.2399709,1942.750102,122.9667562,334.4634323,193.9392902,1216.146017,425.5739314,903.9190302,1972.842072,124.8714335,334.7558619,194.108856,1222.89932,425.0098674,902.7209583,1934.21288,122.4263911,334.7099559,194.0822373,1219.229587
4,425.3363876,903.4144873,1872.161174,118.4988159,334.3481471,193.8724418,1215.785745,426.3163478,905.4959226,1952.241343,123.5675063,335.2519557,194.396517,1223.459946,429.0800781,911.3660859,1990.260508,125.9739369,335.6248296,194.6127287,1231.952752,428.5181605,910.1725729,1944.456085,123.0747368,335.5524165,194.5707398,1227.81805
5,427.8850352,908.8278148,1864.436279,118.0098672,334.9011637,194.1931096,1221.030792,429.2788951,911.7883731,1961.404806,124.1475094,336.0464198,194.8571886,1230.793071,432.6483485,918.9450922,2008.007029,127.0972065,336.5060476,195.1237047,1241.166003,432.1374308,917.8599031,1955.435842,123.7697027,336.3997955,195.0620942,1236.6917
6,430.3718872,914.1098884,1855.508636,117.4447902,335.4313914,194.5005632,1226.055242,432.2616272,918.1236962,1970.271505,124.7087289,336.8457921,195.3207063,1238.153131,436.2819265,926.6628118,2026.050385,128.2392643,337.4021606,195.6433177,1250.545394,435.8664856,925.7804154,1967.1014,124.5080765,337.2522863,195.5564127,1245.844905
7,432.7990723,919.2652295,1845.457998,116.8086331,335.9393692,194.7951151,1230.868978,435.2641907,924.501141,1978.857229,125.2521641,337.6502991,195.7872012,1245.540506,439.9824677,934.5227613,2044.36259,129.398339,338.3101349,196.1698083,1260.090909,439.7035319,933.9303018,1979.402181,125.2866569,338.1107457,196.0541921,1255.271151
8,435.1704305,924.3019944,1834.36318,116.1063843,336.4235611,195.0758747,1235.484253,438.2870687,930.9217339,1987.17808,125.778834,338.4607213,196.2571262,1252.957694,443.7501882,942.5253997,2062.933268,130.5737738,339.231341,196.7039716,1269.803145,443.6496658,942.3118902,1992.266479,126.1009053,338.9741364,196.5548309,1264.967626
9,437.486908,929.2221925,1822.306681,115.3432659,336.8867162,195.3444362,1239.909895,441.3328756,937.3910277,1995.266632,126.2908005,339.2761917,196.7299783,1260.411807,447.5869141,950.6746055,2081.730937,131.763576,340.1663869,197.2461598,1279.684341,447.7047119,950.9248081,2005.661835,126.948767,339.8425852,197.0584027,1274.931978
10,439.7517141,934.0326407,1809.351583,114.5232703,337.3268178,195.59963,1244.155541,444.4008382,943.9073804,2003.13268,126.7886836,340.0976766,197.206318,1267.902382,451.4939601,958.9731712,2100.738993,132.9666947,341.1134237,197.7953009,1289.735167,451.8677368,959.767073,2019.535146,127.826881,340.7159526,197.5648265,1285.15878
11,441.9638214,938.7311567,1795.58429,113.6518667,337.745074,195.8421566,1248.22518,447.4913966,950.4717263,2010.771973,127.2722142,340.9239909,197.685458,1275.429398,455.4714025,967.4212589,2119.929667,134.1813723,342.0734889,198.3519967,1299.954628,456.141276,968.8440703,2033.866872,128.7340104,341.594485,198.0742453,1295.652326
12,444.1048609,943.2787246,1781.338094,112.7501509,338.1459376,196.0745982,1252.103474,450.5926717,957.0588347,2017.781647,127.7158929,341.7519658,198.1655609,1282.940288,459.5055237,975.9897323,2139.156474,135.3983368,343.0442098,198.9148711,1310.30294,460.5371323,978.1808689,2049.149872,129.701351,342.4776128,198.5863287,1306.468549
13,446.1587575,947.641201,1766.884094,111.8352821,338.5349121,196.3001459,1255.776629,453.6948268,963.647812,2023.864899,128.1009335,342.5788981,198.6450592,1290.393805,463.5852585,984.655089,2158.297974,136.6099019,344.0228984,199.4823657,1320.747357,465.0661723,987.8005499,2065.769165,130.7532725,343.3618698,199.0990669,1317.652889
14,448.1308772,951.8299831,1752.247304,110.9088436,338.910848,196.518133,1259.25696,456.8012288,970.2458101,2029.08493,128.4313365,343.4047292,199.123919,1297.801066,467.7124023,993.4211426,2177.351888,137.8159232,345.0106964,200.0551423,1331.292208,469.7261429,997.6983275,2083.595601,131.8816003,344.2501043,199.6141115,1329.194039
15,450.0212123,955.8450548,1737.424266,109.9706164,339.2748871,196.7292218,1262.544893,459.9126918,976.8545573,2033.500682,128.7108323,344.228658,199.6016758,1305.167065,471.8906809,1002.295806,2196.335449,139.0174915,346.0073649,200.6330626,1341.94636,474.5181198,1007.876486,2102.535604,133.0804116,345.1403097,200.1302988,1341.087197
16,452.0587745,960.1728371,1722.141451,109.0032876,339.6492873,196.9463185,1266.122443,463.3177631,984.0869288,2037.677969,128.9752346,345.0953158,200.104209,1313.166372,476.4598483,1012.000718,2216.422607,140.2889122,347.0625939,201.2449392,1353.534569,479.8129554,1019.122717,2123.737793,134.4224084,346.0791673,200.6746973,1354.219823
