scenario,year,co2_ppm,ch4_ppb,n2o_ppb,co2_PgC,ch4_co2e_ppm,n2o_co2e_ppm,ch4_PgC_equiv,n2o_PgC_equiv,total_PgC_equiv
ssp126,2022,420.0372543334961,1883.5850118001301,333.17207590738934,892.1591282043457,56.13083335164388,90.9559767227173,119.2218900388916,193.19049455905156,1204.571512802289
ssp126,2023,422.7210998535156,1878.5761617024739,333.7720642089844,897.8596160888673,55.98156961873372,91.11977352905274,118.90485387019044,193.53839897570802,1210.3028689347657
ssp126,2024,425.33638763427734,1872.1611735026042,334.34814707438153,903.4144873352051,55.790402970377606,91.27704415130616,118.49881590908204,193.8724417773743,1215.7857450216613
ssp126,2025,427.8850351969401,1864.436279296875,334.9011637369792,908.8278147583009,55.56020112304687,91.42801770019533,118.00986718535157,194.19310959521488,1221.030791538867
ssp126,2026,430.37188720703125,1855.5086364746094,335.431391398112,914.1098884277344,55.29415736694336,91.57276985168458,117.4447902473877,194.50056316497808,1226.0552418401003
ssp126,2027,432.799072265625,1845.4579976399739,335.93936920166016,919.2652294921876,54.99464832967122,91.71144779205324,116.80863305222168,194.7951151103211,1230.8689776547303
ssp126,2028,435.17043050130206,1834.3631795247395,336.4235610961914,924.3019943847656,54.66402274983724,91.84363217926025,116.1063843206543,195.0758747487488,1235.4842534541685
ssp126,2029,437.4869079589844,1822.3066813151042,336.88671620686847,929.2221925048829,54.30473910319011,91.9700735244751,115.3432658551758,195.34443616598512,1239.909894526044
ssp126,2030,439.751714070638,1809.351582845052,337.3268178304036,934.0326406860352,53.91867716878255,92.09022126770019,114.52327030649414,195.5996299725952,1244.1555409651246
ssp126,2031,441.9638214111328,1795.5842895507812,337.74507395426434,938.7311566772462,53.50841182861328,92.20440518951416,113.65186672397462,195.84215662252808,1248.2251800237489
ssp126,2032,444.10486094156903,1781.3380940755208,338.1459376017253,943.2787246398926,53.08387520345052,92.313840965271,112.7501509321289,196.07459821023562,1252.103473782257
ssp126,2033,446.15875752766925,1766.8840942382812,338.534912109375,947.6412009887696,52.65314600830079,92.42003100585937,111.83528212163088,196.3001458564453,1255.776628966846
ssp126,2034,448.1308771769206,1752.2473042805989,338.9108479817708,951.8299831237794,52.21696966756185,92.52266149902343,110.90884357390136,196.51813302392577,1259.2569597216066
ssp126,2035,450.0212122599284,1737.4242655436199,339.27488708496094,955.845054840088,51.77524311319987,92.62204417419434,109.97061637243652,196.7292218259888,1262.5448930385132
ssp126,2036,452.05877450796277,1722.1414513221155,339.6492872971755,960.172837054913,51.31981524939904,92.7242554321289,109.00328758972357,196.9463185378418,1266.1224431824783
ssp126,2037,453.70991770426434,1706.082010904948,339.9934794108073,963.6798652038575,50.84124392496745,92.8182198791504,107.98680209663087,197.14589902331548,1268.8125663238038
ssp126,2038,455.3636296590169,1690.8318277994792,340.3195292154948,967.192349395752,50.38678846842448,92.90723147583007,107.0215387069336,197.3349596546631,1271.5488477573488
ssp126,2039,456.9429626464844,1675.4764099121094,340.63345591227215,970.5468526611329,49.92919701538086,92.99293346405031,106.04961446066895,197.51699067764287,1274.1134577994449
ssp126,2040,458.44790903727215,1660.0159708658855,340.9356231689453,973.7433587951662,49.46847593180339,93.07542512512207,105.07104287915041,197.6922029657593,1276.5066046400757
ssp126,2041,459.8818359375,1644.4888916015625,341.2267023722331,976.78901953125,49.00576896972657,93.15488974761963,104.08825329169923,197.8609858239441,1278.7382586468932
ssp126,2042,461.2411473592122,1629.1493225097656,341.5086949666341,979.6761969909668,48.54864981079101,93.2318737258911,103.11733219812011,198.02449979379273,1280.8180289828797
ssp126,2043,462.5244623819987,1614.1688435872395,341.7856267293294,982.4019580993653,48.10223153889974,93.30747609710693,102.16913978862304,198.18507923025513,1282.7561771182434
ssp126,2044,463.7330780029297,1599.510233561198,342.0557047526042,984.9690576782227,47.6654049601237,93.38120739746094,101.24132013530274,198.34168451220705,1284.5520623257325
ssp126,2045,464.8675715128581,1585.1482849121094,342.32063547770184,987.3787218933106,47.237418890380866,93.4535334854126,100.33227772316897,198.49530512301638,1286.2063047394959
ssp126,2046,465.92706807454425,1571.0640157063801,342.5786717732747,989.629092590332,46.81770766805013,93.523977394104,99.44081108693848,198.6449279850769,1287.7148316623475
ssp126,2047,466.91282145182294,1557.2478535970051,342.83174896240234,991.7228327636719,46.40598603719075,93.59306746673583,98.56631434299315,198.7916752993469,1289.080822406012
ssp126,2048,467.82558186848956,1543.6761576334636,343.07883707682294,993.6615358886719,46.00154949747722,93.66052252197267,97.70729113264163,198.93494983666994,1290.3037768579834
ssp126,2049,468.66546122233075,1530.3221740722656,343.3209482828776,995.4454396362306,45.60360078735352,93.72661888122559,96.86204807233888,199.07533850372317,1291.3828262122925
ssp126,2050,469.4334487915039,1517.1749979654949,343.55686442057294,997.0766452331543,45.21181493937175,93.79102398681641,96.0298949312256,199.21213494799807,1292.3186751123778
ssp126,2051,470.13097127278644,1504.2329406738281,343.78708902994794,998.5581829833984,44.82614163208008,93.85387530517578,95.2107248265381,199.34563114819335,1293.11453895813
ssp126,2052,470.76507568359375,1491.5631205240886,344.013427734375,999.9050207519532,44.448580991617845,93.91566577148437,94.40878602619631,199.4768740986328,1293.7906808767823
ssp126,2053,471.34252166748047,1479.2047424316406,344.23585001627606,1001.1315160217285,44.08030132446289,93.97638705444336,93.62656001315918,199.6058461036377,1294.3639221385256
ssp126,2054,471.8618748982747,1467.143330891927,344.4553680419922,1002.2346222839356,43.72087126057943,94.03631547546387,92.86313055747071,199.73313406988527,1294.8308869112914
ssp126,2055,472.3242594401042,1455.3566080729167,344.6718928019206,1003.2167270507813,43.36962692057292,94.09542673492432,92.11708757929688,199.85868638497925,1295.1925010150576
ssp126,2056,472.7285919189453,1443.8185017903645,344.88527425130206,1004.0755292358399,43.02579135335286,94.15367987060546,91.38678083452147,199.982416045166,1295.4447261155274
ssp126,2057,473.0761413574219,1432.5277201334636,345.09466552734375,1004.8137242431641,42.68932605997722,94.21084368896484,90.67212855139162,200.10383199536133,1295.589684789917
ssp126,2058,473.3664042154948,1421.4529825846355,345.3012466430664,1005.4302425537111,42.35929888102214,94.26724033355713,89.97115082329103,200.22361846847534,1295.6250118454773
ssp126,2059,473.59898630777997,1410.5870463053386,345.5045674641927,1005.9242469177248,42.035493979899094,94.3227469177246,89.28338921330568,200.34151445324707,1295.5491505842776
ssp126,2060,473.77526092529297,1399.9206034342449,345.7041244506836,1006.2986542053224,41.717633982340494,94.37722597503662,88.60825457849121,200.4572279709778,1295.3641367547914
ssp126,2061,473.8944396972656,1389.4360860188801,345.9016977945964,1006.5517899169922,41.40519536336263,94.43116349792481,87.94463495178223,200.57179126959232,1295.0682161383668
ssp126,2062,473.9684422810872,1379.0457356770833,346.0963617960612,1006.7089714050293,41.095562923177084,94.48430677032472,87.28697564882813,200.68466758016973,1294.6806146340273
ssp126,2063,474.00174204508465,1368.6910196940105,346.2901560465495,1006.7797001037599,40.786992386881515,94.53721260070802,86.63157182973634,200.79703956390384,1294.2083114974
ssp126,2064,473.994878133138,1358.379638671875,346.4818700154622,1006.7651211547852,40.47971323242187,94.58955051422119,85.97891090566407,200.90820529220582,1293.652237352655
