year,A CO2 ssp126,A CO2 ssp245,A CO2 ssp370,A CO2 ssp585
2022,420.0372543334961,420.4425735473633,422.1290232340495,421.6142069498698
2023,422.7210998535156,423.37098439534503,425.57393137613934,425.00986735026044
2024,425.33638763427734,426.3163477579753,429.080078125,428.5181605021159
2025,427.8850351969401,429.2788950602214,432.64834849039715,432.13743082682294
2026,430.37188720703125,432.2616271972656,436.28192647298175,435.8664855957031
2027,432.799072265625,435.2641906738281,439.9824676513672,439.7035319010417
2028,435.17043050130206,438.2870686848958,443.75018819173175,443.64966583251953
2029,437.4869079589844,441.33287556966144,447.5869140625,447.7047119140625
2030,439.751714070638,444.4008382161458,451.4939600626628,451.86773681640625
2031,441.9638214111328,447.4913965861003,455.47140248616535,456.1412760416667
2032,444.10486094156903,450.59267171223956,459.5055236816406,460.5371322631836
2033,446.15875752766925,453.69482676188153,463.5852584838867,465.06617228190106
2034,448.1308771769206,456.8012288411458,467.71240234375,469.7261428833008
2035,450.0212122599284,459.9126917521159,471.89068094889325,474.5181198120117
2036,452.05877450796277,463.31776310847357,476.45984825721155,479.8129554161659
2037,453.70991770426434,466.42117563883465,480.7664540608724,484.9294789632161
2038,455.3636296590169,469.5587692260742,485.11095428466797,490.1317545572917
2039,456.9429626464844,472.7064615885417,489.51219940185547,495.4696044921875
2040,458.44790903727215,475.86549377441406,493.971440633138,500.9442850748698
2041,459.8818359375,479.03456115722656,498.4906183878581,506.5567906697591
2042,461.2411473592122,482.2038828531901,503.05969492594403,512.3158289591471
2043,462.5244623819987,485.36669667561847,507.6764221191406,518.2273610432943
2044,463.7330780029297,488.52391815185547,512.3407033284506,524.2919006347656
2045,464.8675715128581,491.677241007487,517.05609130859375,530.5108235677084
2046,465.92706807454425,494.82660420735675,521.8215688069662,536.8858184814453
2047,466.91282145182294,497.97325388590497,526.6393025716146,543.4169718424479
2048,467.82558186848956,501.1177673339844,531.5103658040365,550.1064860026041
2049,468.66546122233075,504.2593688964844,536.43646240234375,556.9564107259115
2050,469.4334487915039,507.40040079752606,541.4179178873698,563.9669698079427
2051,470.13097127278644,510.53790283203125,546.4559733072916,571.141591389974
2052,470.76507568359375,513.6565526326498,551.5452982584635,578.5020345052084
2053,471.34252166748047,516.744140625,556.6846364339193,586.0610860188802
2054,471.8618748982747,519.8012898763021,561.8753865559896,593.8170115152994
2055,472.3242594401042,522.8306376139323,567.11907958984375,601.7722829182943
2056,472.7285919189453,525.8319091796875,572.4149424235026,609.9263509114584
2057,473.0761413574219,528.8052825927734,577.7663167317709,618.2797190348307
2058,473.3664042154948,531.75189208984375,583.1734517415365,626.8343048095703
2059,473.59898630777997,534.6724904378256,588.6359049479166,635.5911458333334
2060,473.77526092529297,537.5672963460287,594.1565093994141,644.5521799723307
2061,473.8944396972656,540.4351654052734,599.7340342203776,653.7171885172526
2062,473.9684422810872,543.2649637858073,605.3696645100912,663.0860087076823
2063,474.00174204508465,546.0493927001953,611.06201171875,672.6580810546875
2064,473.994878133138,548.79010009765625,616.8118489583334,682.4364064534506
2065,473.94578043619794,551.4867604573568,622.6216786702474,692.4210459391276
2066,473.85479227701825,554.1407318115234,628.4893900553385,702.6161244710287
2067,473.72168223063153,556.7525329589844,634.4175821940104,713.0211588541666
2068,473.5453338623047,559.3216552734375,640.4066823323568,723.6388142903646
2069,473.32513427734375,561.8507334391276,646.4569295247396,734.4717763264974
2070,473.0631383260091,564.3382364908854,652.5692698160807,745.5221811930338
2071,472.7559356689453,566.7849884033203,658.7435709635416,756.7880808512369
2072,472.39269256591797,569.1639353434244,664.9798889160156,768.2485402425131
2073,471.96488189697266,571.4612935384115,671.2781778971354,779.8849792480469
2074,471.4744364420573,573.6791127522787,677.6386006673177,791.7047475179037
2075,470.9209925333659,575.8179423014323,684.06207275390625,803.7071380615234
2076,470.3069203694661,577.8790283203125,690.5487416585287,815.8953501383463
2077,469.63151295979816,579.8632151285807,697.1004180908203,828.2717030843099
2078,468.8943913777669,581.77166748046875,703.7149810791016,840.8373972574869
2079,468.0985972086589,583.6049855550131,710.3948059082031,853.5940806070963
2080,467.2422129313151,585.3625691731771,717.1385548909506,866.5441538492838
2081,466.3275629679362,587.0452880859375,723.9501139322916,879.6822052001953
2082,465.37449645996094,588.63690185546875,730.8336588541666,892.92132568359375
2083,464.3951059977214,590.1282196044922,737.7970174153646,906.1995391845703
2084,463.3872706095378,591.5220743815104,744.8378448486328,919.5285949707031
2085,462.3515218098958,592.8188018798828,751.9582875569662,932.9063873291016
2086,461.28532155354816,594.0186716715494,759.1583404541016,946.3364461263021
2087,460.1895116170247,595.12274169921875,766.4364674886068,959.8202616373698
2088,459.06443277994794,596.1318817138672,773.7947031656901,973.3584543863932
2089,457.9083887736003,597.0460052490234,781.2307891845703,986.9525807698568
2090,456.7231928507487,597.86505126953125,788.7482248942057,1000.6023305257162
2091,455.5089619954427,598.593251546224,796.3433125813802,1014.3087565104166
2092,454.3018544514974,599.257558186849,804.0240529378256,1028.0277404785156
2093,453.1235097249349,599.8760528564453,811.7912546793619,1041.7357076009114
2094,451.9680811564128,600.4469197591146,819.6447296142578,1055.4351196289062
2095,450.8360239664714,600.9697621663412,827.5851999918619,1069.1337992350261
2096,449.72403208414715,601.4411671956381,835.6127014160156,1082.8104248046875
2097,448.6301752726237,601.8641255696615,843.7271525065104,1096.4927876790364
2098,447.55517323811847,602.2351837158203,851.9287414550781,1110.1694437662761
2099,446.4956537882487,602.5550435384115,860.2180887858073,1123.8275146484375
2100,445.4509735107422,602.8222707112631,868.5954742431641,1137.4886678059895
