scenario,year,co2_ppm
A CO2 ssp126,2022,420.0372543334961
A CO2 ssp126,2023,422.7210998535156
A CO2 ssp126,2024,425.33638763427734
A CO2 ssp126,2025,427.8850351969401
A CO2 ssp126,2026,430.37188720703125
A CO2 ssp126,2027,432.799072265625
A CO2 ssp126,2028,435.17043050130206
A CO2 ssp126,2029,437.4869079589844
A CO2 ssp126,2030,439.751714070638
A CO2 ssp126,2031,441.9638214111328
A CO2 ssp126,2032,444.10486094156903
A CO2 ssp126,2033,446.15875752766925
A CO2 ssp126,2034,448.1308771769206
A CO2 ssp126,2035,450.0212122599284
A CO2 ssp126,2036,452.05877450796277
A CO2 ssp126,2037,453.70991770426434
A CO2 ssp126,2038,455.3636296590169
A CO2 ssp126,2039,456.9429626464844
A CO2 ssp126,2040,458.44790903727215
A CO2 ssp126,2041,459.8818359375
A CO2 ssp126,2042,461.2411473592122
A CO2 ssp126,2043,462.5244623819987
A CO2 ssp126,2044,463.7330780029297
A CO2 ssp126,2045,464.8675715128581
A CO2 ssp126,2046,465.92706807454425
A CO2 ssp126,2047,466.91282145182294
A CO2 ssp126,2048,467.82558186848956
A CO2 ssp126,2049,468.66546122233075
A CO2 ssp126,2050,469.4334487915039
A CO2 ssp126,2051,470.13097127278644
A CO2 ssp126,2052,470.76507568359375
A CO2 ssp126,2053,471.34252166748047
A CO2 ssp126,2054,471.8618748982747
A CO2 ssp126,2055,472.3242594401042
A CO2 ssp126,2056,472.7285919189453
A CO2 ssp126,2057,473.0761413574219
A CO2 ssp126,2058,473.3664042154948
A CO2 ssp126,2059,473.59898630777997
A CO2 ssp126,2060,473.77526092529297
A CO2 ssp126,2061,473.8944396972656
A CO2 ssp126,2062,473.9684422810872
A CO2 ssp126,2063,474.00174204508465
A CO2 ssp126,2064,473.994878133138
A CO2 ssp126,2065,473.94578043619794
A CO2 ssp126,2066,473.85479227701825
A CO2 ssp126,2067,473.72168223063153
A CO2 ssp126,2068,473.5453338623047
A CO2 ssp126,2069,473.32513427734375
A CO2 ssp126,2070,473.0631383260091
A CO2 ssp126,2071,472.7559356689453
A CO2 ssp126,2072,472.39269256591797
A CO2 ssp126,2073,471.96488189697266
A CO2 ssp126,2074,471.4744364420573
A CO2 ssp126,2075,470.9209925333659
A CO2 ssp126,2076,470.3069203694661
A CO2 ssp126,2077,469.63151295979816
A CO2 ssp126,2078,468.8943913777669
A CO2 ssp126,2079,468.0985972086589
A CO2 ssp126,2080,467.2422129313151
A CO2 ssp126,2081,466.3275629679362
A CO2 ssp126,2082,465.37449645996094
A CO2 ssp126,2083,464.3951059977214
A CO2 ssp126,2084,463.3872706095378
A CO2 ssp126,2085,462.3515218098958
A CO2 ssp126,2086,461.28532155354816
A CO2 ssp126,2087,460.1895116170247
A CO2 ssp126,2088,459.06443277994794
A CO2 ssp126,2089,457.9083887736003
A CO2 ssp126,2090,456.7231928507487
A CO2 ssp126,2091,455.5089619954427
A CO2 ssp126,2092,454.3018544514974
A CO2 ssp126,2093,453.1235097249349
A CO2 ssp126,2094,451.9680811564128
A CO2 ssp126,2095,450.8360239664714
A CO2 ssp126,2096,449.72403208414715
A CO2 ssp126,2097,448.6301752726237
A CO2 ssp126,2098,447.55517323811847
A CO2 ssp126,2099,446.4956537882487
A CO2 ssp126,2100,445.4509735107422
A CO2 ssp245,2022,420.4425735473633
A CO2 ssp245,2023,423.37098439534503
A CO2 ssp245,2024,426.3163477579753
A CO2 ssp245,2025,429.2788950602214
A CO2 ssp245,2026,432.2616271972656
A CO2 ssp245,2027,435.2641906738281
A CO2 ssp245,2028,438.2870686848958
A CO2 ssp245,2029,441.33287556966144
A CO2 ssp245,2030,444.4008382161458
A CO2 ssp245,2031,447.4913965861003
A CO2 ssp245,2032,450.59267171223956
A CO2 ssp245,2033,453.69482676188153
A CO2 ssp245,2034,456.8012288411458
A CO2 ssp245,2035,459.9126917521159
A CO2 ssp245,2036,463.31776310847357
A CO2 ssp245,2037,466.42117563883465
A CO2 ssp245,2038,469.5587692260742
A CO2 ssp245,2039,472.7064615885417
A CO2 ssp245,2040,475.86549377441406
A CO2 ssp245,2041,479.03456115722656
A CO2 ssp245,2042,482.2038828531901
A CO2 ssp245,2043,485.36669667561847
A CO2 ssp245,2044,488.52391815185547
A CO2 ssp245,2045,491.677241007487
A CO2 ssp245,2046,494.82660420735675
A CO2 ssp245,2047,497.97325388590497
A CO2 ssp245,2048,501.1177673339844
A CO2 ssp245,2049,504.2593688964844
A CO2 ssp245,2050,507.40040079752606
A CO2 ssp245,2051,510.53790283203125
A CO2 ssp245,2052,513.6565526326498
A CO2 ssp245,2053,516.744140625
A CO2 ssp245,2054,519.8012898763021
A CO2 ssp245,2055,522.8306376139323
A CO2 ssp245,2056,525.8319091796875
A CO2 ssp245,2057,528.8052825927734
A CO2 ssp245,2058,531.75189208984375
A CO2 ssp245,2059,534.6724904378256
A CO2 ssp245,2060,537.5672963460287
A CO2 ssp245,2061,540.4351654052734
A CO2 ssp245,2062,543.2649637858073
A CO2 ssp245,2063,546.0493927001953
A CO2 ssp245,2064,548.79010009765625
A CO2 ssp245,2065,551.4867604573568
A CO2 ssp245,2066,554.1407318115234
A CO2 ssp245,2067,556.7525329589844
A CO2 ssp245,2068,559.3216552734375
A CO2 ssp245,2069,561.8507334391276
A CO2 ssp245,2070,564.3382364908854
A CO2 ssp245,2071,566.7849884033203
A CO2 ssp245,2072,569.1639353434244
A CO2 ssp245,2073,571.4612935384115
A CO2 ssp245,2074,573.6791127522787
A CO2 ssp245,2075,575.8179423014323
A CO2 ssp245,2076,577.8790283203125
A CO2 ssp245,2077,579.8632151285807
A CO2 ssp245,2078,581.77166748046875
A CO2 ssp245,2079,583.6049855550131
A CO2 ssp245,2080,585.3625691731771
A CO2 ssp245,2081,587.0452880859375
A CO2 ssp245,2082,588.63690185546875
A CO2 ssp245,2083,590.1282196044922
A CO2 ssp245,2084,591.5220743815104
A CO2 ssp245,2085,592.8188018798828
A CO2 ssp245,2086,594.0186716715494
A CO2 ssp245,2087,595.12274169921875
A CO2 ssp245,2088,596.1318817138672
A CO2 ssp245,2089,597.0460052490234
A CO2 ssp245,2090,597.86505126953125
A CO2 ssp245,2091,598.593251546224
A CO2 ssp245,2092,599.257558186849
A CO2 ssp245,2093,599.8760528564453
A CO2 ssp245,2094,600.4469197591146
A CO2 ssp245,2095,600.9697621663412
A CO2 ssp245,2096,601.4411671956381
A CO2 ssp245,2097,601.8641255696615
A CO2 ssp245,2098,602.2351837158203
A CO2 ssp245,2099,602.5550435384115
A CO2 ssp245,2100,602.8222707112631
A CO2 ssp370,2022,422.1290232340495
A CO2 ssp370,2023,425.57393137613934
A CO2 ssp370,2024,429.080078125
A CO2 ssp370,2025,432.64834849039715
A CO2 ssp370,2026,436.28192647298175
A CO2 ssp370,2027,439.9824676513672
A CO2 ssp370,2028,443.75018819173175
A CO2 ssp370,2029,447.5869140625
A CO2 ssp370,2030,451.4939600626628
A CO2 ssp370,2031,455.47140248616535
A CO2 ssp370,2032,459.5055236816406
A CO2 ssp370,2033,463.5852584838867
A CO2 ssp370,2034,467.71240234375
A CO2 ssp370,2035,471.89068094889325
A CO2 ssp370,2036,476.45984825721155
A CO2 ssp370,2037,480.7664540608724
A CO2 ssp370,2038,485.11095428466797
A CO2 ssp370,2039,489.51219940185547
A CO2 ssp370,2040,493.971440633138
A CO2 ssp370,2041,498.4906183878581
A CO2 ssp370,2042,503.05969492594403
A CO2 ssp370,2043,507.6764221191406
A CO2 ssp370,2044,512.3407033284506
A CO2 ssp370,2045,517.05609130859375
A CO2 ssp370,2046,521.8215688069662
A CO2 ssp370,2047,526.6393025716146
A CO2 ssp370,2048,531.5103658040365
A CO2 ssp370,2049,536.43646240234375
A CO2 ssp370,2050,541.4179178873698
A CO2 ssp370,2051,546.4559733072916
A CO2 ssp370,2052,551.5452982584635
A CO2 ssp370,2053,556.6846364339193
A CO2 ssp370,2054,561.8753865559896
A CO2 ssp370,2055,567.11907958984375
A CO2 ssp370,2056,572.4149424235026
A CO2 ssp370,2057,577.7663167317709
A CO2 ssp370,2058,583.1734517415365
A CO2 ssp370,2059,588.6359049479166
A CO2 ssp370,2060,594.1565093994141
