iIRF100,alpha,,,,
10.0000000,0.0000549,,,,
10.1703407,0.0000563,,,,
10.3406814,0.0000578,,,,500
10.5110220,0.0000594,,,,
10.6813627,0.0000609,,,,
10.8517034,0.0000626,,,,
11.0220441,0.0000642,,,,
11.1923848,0.0000660,,,,
11.3627255,0.0000677,,,,
11.5330661,0.0000696,,,,
11.7034068,0.0000715,,,,
11.8737475,0.0000734,,,,
12.0440882,0.0000754,,,,
12.2144289,0.0000775,,,,
12.3847695,0.0000797,,,,
12.5551102,0.0000819,,,,
12.7254509,0.0000842,,,,
12.8957916,0.0000866,,,,
13.0661323,0.0000891,,,,
13.2364729,0.0000917,,,,
13.4068136,0.0000943,,,,
13.5771543,0.0000971,,,,
13.7474950,0.0001000,,,,
13.9178357,0.0001031,,,,
14.0881764,0.0001062,,,,
14.2585170,0.0001095,,,,
14.4288577,0.0001129,,,,
14.5991984,0.0001165,,,,
14.7695391,0.0001203,,,,
14.9398798,0.0001243,,,,
15.1102204,0.0001284,,,,
15.2805611,0.0001328,,,,
15.4509018,0.0001374,,,,
15.6212425,0.0001423,,,,
15.7915832,0.0001474,,,,
15.9619238,0.0001528,,,,
16.1322645,0.0001585,,,,
16.3026052,0.0001646,,,,
16.4729459,0.0001711,,,,
16.6432866,0.0001780,,,,
16.8136273,0.0001854,,,,
16.9839679,0.0001933,,,,
17.1543086,0.0002017,,,,
17.3246493,0.0002109,,,,
17.4949900,0.0002207,,,,
17.6653307,0.0002313,,,,
17.8356713,0.0002428,,,,
18.0060120,0.0002554,,,,
18.1763527,0.0002691,,,,
18.3466934,0.0002842,,,,
18.5170341,0.0003008,,,,
18.6873747,0.0003192,,,,
18.8577154,0.0003397,,,,
19.0280561,0.0003627,,,,
19.1983968,0.0003887,,,,
19.3687375,0.0004182,,,,
19.5390782,0.0004520,,,,
19.7094188,0.0004911,,,,
19.8797595,0.0005368,,,,
20.0501002,0.0005910,,,,
20.2204409,0.0006561,,,,
20.3907816,0.0007354,,,,
20.5611222,0.0008340,,,,
20.7314629,0.0009592,,,,
20.9018036,0.0011220,,,,
21.0721443,0.0013391,,,,
21.2424850,0.0016358,,,,
21.4128257,0.0020489,,,,
21.5831663,0.0026240,,,,
21.7535070,0.0034024,,,,
21.9238477,0.0043973,,,,
22.0941884,0.0055843,,,,
22.2645291,0.0069185,,,,
22.4348697,0.0083562,,,,
22.6052104,0.0098645,,,,
22.7755511,0.0114211,,,,
22.9458918,0.0130112,,,,
23.1162325,0.0146253,,,,
23.2865731,0.0162569,,,,
23.4569138,0.0179016,,,,
23.6272545,0.0195564,,,,
23.7975952,0.0212190,,,,
23.9679359,0.0228878,,,,
24.1382766,0.0245619,,,,
24.3086172,0.0262403,,,,
24.4789579,0.0279227,,,,
24.6492986,0.0296087,,,,
24.8196393,0.0312982,,,,
24.9899800,0.0329914,,,,
25.1603206,0.0346884,,,,
25.3306613,0.0363895,,,,
25.5010020,0.0380951,,,,
25.6713427,0.0398057,,,,
25.8416834,0.0415220,,,,
26.0120240,0.0432444,,,,
26.1823647,0.0449736,,,,
26.3527054,0.0467104,,,,
26.5230461,0.0484554,,,,
26.6933868,0.0502093,,,,
26.8637275,0.0519731,,,,
27.0340681,0.0537473,,,,
27.2044088,0.0555328,,,,
27.3747495,0.0573303,,,,
27.5450902,0.0591408,,,,
27.7154309,0.0609649,,,,
27.8857715,0.0628034,,,,
28.0561122,0.0646572,,,,
28.2264529,0.0665271,,,,
28.3967936,0.0684139,,,,
28.5671343,0.0703184,,,,
28.7374749,0.0722414,,,,
28.9078156,0.0741837,,,,
29.0781563,0.0761461,,,,
29.2484970,0.0781296,,,,
29.4188377,0.0801349,,,,
29.5891784,0.0821628,,,,
29.7595190,0.0842142,,,,
29.9298597,0.0862900,,,,
30.1002004,0.0883909,,,,
30.2705411,0.0905179,,,,
30.4408818,0.0926719,,,,
30.6112224,0.0948537,,,,
30.7815631,0.0970643,,,,
30.9519038,0.0993044,,,,
31.1222445,0.1015751,,,,
31.2925852,0.1038773,,,,
31.4629259,0.1062119,,,,
31.6332665,0.1085799,,,,
31.8036072,0.1109822,,,,
31.9739479,0.1134198,,,,
32.1442886,0.1158938,,,,
32.3146293,0.1184051,,,,
32.4849699,0.1209547,,,,
32.6553106,0.1235437,,,,
32.8256513,0.1261732,,,,
32.9959920,0.1288442,,,,
33.1663327,0.1315579,,,,
33.3366733,0.1343152,,,,
33.5070140,0.1371175,,,,
33.6773547,0.1399657,,,,
33.8476954,0.1428611,,,,
34.0180361,0.1458049,,,,
34.1883768,0.1487981,,,,
34.3587174,0.1518422,,,,
34.5290581,0.1549382,,,,
34.6993988,0.1580874,,,,
34.8697395,0.1612912,,,,
35.0400802,0.1645507,,,,
35.2104208,0.1678673,,,,
35.3807615,0.1712422,,,,
35.5511022,0.1746769,,,,
35.7214429,0.1781727,,,,
35.8917836,0.1817308,,,,
36.0621242,0.1853527,,,,
36.2324649,0.1890398,,,,
36.4028056,0.1927935,,,,
36.5731463,0.1966151,,,,
36.7434870,0.2005060,,,,
36.9138277,0.2044678,,,,
37.0841683,0.2085017,,,,
37.2545090,0.2126093,,,,
37.4248497,0.2167919,,,,
37.5951904,0.2210511,,,,
37.7655311,0.2253882,,,,
37.9358717,0.2298046,,,,
38.1062124,0.2343019,,,,
