TIME,Emissions control rate
2020,0.05
2025,0.1
2030,0.24
2035,0.274689312
2040,0.309920688
2045,0.348902744
2050,0.391944268
2055,0.427147121
2060,0.464499818
2065,0.504017031
2070,0.545701276
2075,0.589543379
2080,0.63552221
2085,0.683604961
2090,0.733748878
2095,0.785906171
2100,0.84003677
2105,0.889296463
2110,0.939909785
2115,0.991942151
2120,1.045556127
2125,1.1
2130,1.1
2135,1.1
2140,1.1
2145,1.1
2150,1.1
2155,1.1
2160,1.1
2165,1.1
2170,1.1
2175,1.1
2180,1.1
2185,1.1
2190,1.1
2195,1.1
2200,1.1
2205,1.05
2210,1.05
2215,1.05
2220,1.05
2225,1.05
2230,1.05
2235,1.05
2240,1.05
2245,1.05
2250,1.05
2255,1.05
2260,1.05
2265,1.05
2270,1.05
2275,1.05
2280,1.05
2285,1.05
2290,1.05
2295,1.05
2300,1.05
2305,1
2310,1
2315,1
2320,1
2325,1
2330,1
2335,1
2340,1
2345,1
2350,1
2355,1
2360,1
2365,1
2370,1
2375,1
2380,1
2385,1
2390,1
2395,1
2400,1
2405,1
2410,1
2415,1
2420,1
