Year,temp ssp126,temp ssp245,temp ssp370,temp ssp585
2015,14.8382526,14.80759314,14.83866944,14.81391912
2016,14.85071875,14.82123775,14.87956389,14.85469608
2017,14.879125,14.85385784,14.94050556,14.89614706
2018,14.91867448,14.8948848,14.97846667,14.89997304
2019,14.99729688,14.90368382,14.96793611,14.93771078
2020,15.01802865,14.90311765,14.95456667,14.95588235
2021,15.04290104,14.95510294,15.007925,15.02158088
2022,15.07286979,15.03095588,15.04977778,15.04945833
2023,15.09167448,15.03268873,15.04744444,15.06779902
2024,15.13460677,15.08906618,15.06001944,15.0987402
2025,15.17149479,15.09667157,15.11268889,15.13816912
2026,15.1730625,15.11952451,15.19175556,15.18708088
2027,15.19475781,15.1346348,15.22800556,15.22981127
2028,15.22967448,15.19495098,15.24031944,15.26320588
2029,15.22971875,15.24475245,15.20376944,15.27144363
2030,15.24323958,15.20281863,15.20517222,15.31630637
2031,15.25920573,15.24025735,15.30542778,15.36451716
2032,15.27260156,15.28048529,15.35373611,15.37768873
2033,15.30308594,15.29896569,15.3698,15.40451961
2034,15.30676823,15.33926471,15.36051389,15.42493627
2035,15.34358594,15.35130147,15.39264167,15.47056373
2036,15.39794531,15.37310784,15.46563333,15.56168137
2037,15.42458333,15.43141912,15.56034167,15.58769363
2038,15.4298724,15.46372059,15.5577,15.62221569
2039,15.44223177,15.46183088,15.57898889,15.65356127
2040,15.41600521,15.48845098,15.59504722,15.74392647
2041,15.44221875,15.50092892,15.63867778,15.75888725
2042,15.4918125,15.51928922,15.6858,15.79448284
2043,15.53019531,15.55443627,15.71346944,15.85470588
2044,15.49444792,15.59607598,15.71404167,15.90226961
2045,15.50153125,15.60166422,15.77033333,15.91571569
2046,15.56833594,15.68271814,15.82913889,15.97721078
2047,15.55326302,15.70930392,15.85799722,16.0439902
2048,15.57861719,15.76228676,15.88663611,16.1267451
2049,15.59568229,15.78699755,15.96024722,16.17417157
2050,15.59248958,15.77543137,15.988575,16.18210294
2051,15.59177083,15.80767892,16.04281944,16.18250245
2052,15.58688021,15.84095343,16.06348889,16.25866422
2053,15.58352865,15.831625,16.13267778,16.30609559
2054,15.574125,15.85647304,16.09532222,16.37977941
2055,15.59970313,15.90234559,16.16532222,16.43502451
2056,15.63388281,15.92118137,16.21099722,16.49437255
2057,15.64040625,15.97491667,16.26811944,16.52717157
2058,15.65166146,15.97157108,16.27672778,16.58522794
2059,15.65973438,16.02544608,16.30542778,16.66097059
2060,15.66307031,16.04108578,16.35559722,16.72065441
2061,15.65003906,16.0305098,16.40170833,16.73933333
2062,15.64327344,16.05848529,16.43599722,16.79153431
2063,15.65939323,16.07841422,16.45390833,16.82687255
2064,15.66566146,16.08647794,16.48245,16.86328186
2065,15.63413021,16.12726961,16.51977778,16.90601716
2066,15.67669271,16.14606618,16.59309167,17.02252941
2067,15.704,16.15226471,16.68026667,17.08832598
2068,15.708875,16.18999755,16.715025,17.10330392
2069,15.70190365,16.21308088,16.75618889,17.16131618
2070,15.69876563,16.24434559,16.74838889,17.26456373
2071,15.69197656,16.26499755,16.80660556,17.30926471
2072,15.68620573,16.29083824,16.84495278,17.33738725
2073,15.70921615,16.32033824,16.89435556,17.40846078
2074,15.71030469,16.29833824,16.93514167,17.4468799
2075,15.65995573,16.28480882,17.017075,17.49733088
2076,15.70497656,16.34101716,17.01798333,17.55158088
2077,15.7245026,16.40125245,17.01976667,17.61523039
2078,15.71163802,16.38947549,17.08841667,17.65035294
2079,15.72467708,16.40373775,17.14671667,17.73107353
2080,15.71455729,16.43166667,17.18548056,17.82298039
2081,15.73274479,16.4335,17.24644167,17.89818382
2082,15.72376042,16.47183824,17.28516944,17.94581618
2083,15.70216927,16.48277941,17.33261389,17.99253922
2084,15.70539063,16.51359069,17.37666111,18.08399265
2085,15.7103724,16.52455882,17.45710556,18.13037255
2086,15.72404688,16.54257108,17.47624444,18.1899902
2087,15.68402604,16.55805637,17.48534167,18.22983333
2088,15.65968229,16.55792892,17.57948333,18.31127451
2089,15.66009115,16.57503922,17.63278889,18.36421814
2090,15.67327344,16.60185539,17.60024444,18.43372794
2091,15.6889375,16.6436152,17.62803056,18.52048529
2092,15.67867188,16.64555882,17.71807778,18.53915441
2093,15.66990625,16.63733824,17.79754444,18.61950735
2094,15.67658594,16.64125,17.844475,18.6776348
2095,15.65980208,16.69090931,17.85578889,18.74215931
2096,15.64790885,16.69406618,17.91014722,18.81022304
2097,15.65482031,16.67809314,17.98710278,18.86421569
2098,15.6699349,16.70344363,18.01116944,18.93532108
2099,15.68467969,16.67236275,18.06029885,18.99827941
2100,15.70386111,16.74528125,18.20493155,19.10363542
