"Years","temperature_anomaly","atmospheric_co2","accumulated_welfare","difference_in_accumulated_welfare","economic_output","difference_in_economic_output","damages_as_fraction_of_gross_output","cost_of_emissions_abatement","difference_in_cost_of_emissions_abatement"
2020,1.24715,886.512801,NA,NA,134.15184293,NA,0.00539251,0.00609507,NA
2025,1.42484409,915.718548,NA,NA,155.56501404,NA,0.00703864,0.03757296,NA
2030,1.54631659,939.764112,NA,NA,178.32118245,NA,0.00828993,0.36994455,NA
2035,1.64814475,964.666602,NA,NA,203.37417104,NA,0.00941769,0.52859096,NA
2040,1.7435344,989.779729,NA,NA,230.54568947,NA,0.01053938,0.72523553,NA
2045,1.8355836,1014.69061,NA,NA,259.93514756,NA,0.0116816,0.98677944,NA
2050,1.92440847,1039.00318,NA,NA,291.66914799,NA,0.01283951,1.33239901,NA
2055,2.01071631,1063.15946,NA,NA,325.97198856,NA,0.01401701,1.73638844,NA
2060,2.09447495,1086.81608,NA,NA,362.96593768,NA,0.01520912,2.24739732,NA
2065,2.17511167,1109.65347,NA,NA,402.83169972,NA,0.01640276,2.88976428,NA
2070,2.25189128,1131.32935,NA,NA,445.76693921,NA,0.01758121,3.69237979,NA
2075,2.32400143,1151.46523,NA,NA,491.98685181,NA,0.01872521,4.68933119,NA
2080,2.39056267,1169.63953,NA,NA,541.72509791,NA,0.01981318,5.92058409,NA
2085,2.45061734,1185.38216,NA,NA,595.2348936,NA,0.02082116,7.4327114,NA
2090,2.50311041,1198.16958,NA,NA,652.78980769,NA,0.0217227,9.27969731,NA
2095,2.54686393,1207.4198,NA,NA,714.6831521,NA,0.02248875,11.5239019,NA
2100,2.58054268,1212.48658,NA,NA,781.2232574,NA,0.02308745,14.2374686,NA
2105,2.59752341,1213.49777,NA,NA,853.1520952,NA,0.02339229,17.3296288,NA
2110,2.60113354,1209.74566,NA,NA,930.615726,NA,0.02345736,21.014075,NA
2115,2.59112882,1200.48963,NA,NA,1013.9534869,NA,0.02327726,25.3962531,NA
2120,2.56594281,1184.91712,NA,NA,1103.4608187,NA,0.02282694,30.6053413,NA
2125,2.52348443,1162.28737,NA,NA,1199.4627666,NA,0.02207776,36.7112934,NA
2130,2.4760724,1141.22492,NA,NA,1312.0791296,NA,0.02125595,38.5863804,NA
2135,2.42879147,1120.90121,NA,NA,1434.7929169,NA,0.02045193,40.6027531,NA
2140,2.38219927,1100.85246,NA,NA,1567.9567541,NA,0.01967479,42.7562359,NA
2145,2.33581713,1080.80714,NA,NA,1712.1217769,NA,0.0189161,45.0479631,NA
2150,2.28902494,1060.59616,NA,NA,1867.9733653,NA,0.01816582,47.4823447,NA
2155,2.24125236,1040.10526,NA,NA,2036.2954412,NA,0.01741548,50.0657888,NA
2160,2.19199859,1019.25206,NA,NA,2217.9600092,NA,0.01665844,52.8012308,NA
2165,2.14085307,997.993685,NA,NA,2413.999278,NA,0.01589013,55.645892,NA
2170,2.08744975,976.296654,NA,NA,2625.4342658,NA,0.01510727,58.6025042,NA
2175,2.03144796,954.134817,NA,NA,2853.3417543,NA,0.01430755,61.6736457,NA
2180,1.97252346,931.488667,NA,NA,3098.8495028,NA,0.01348957,64.8615972,NA
2185,1.91036411,908.345453,NA,NA,3363.1239704,NA,0.01265279,68.1680796,NA
2190,1.84466839,884.699919,NA,NA,3647.3425844,NA,0.01179751,71.5937456,NA
2195,1.77514672,860.555741,NA,NA,3952.6342824,NA,0.01092502,75.1371776,NA
2200,1.70152658,835.927945,NA,NA,4279.9554223,NA,0.01003763,78.7929077,NA
2205,1.66519419,829.78753,NA,NA,4646.3454722,NA,0.00961355,73.1434078,NA
2210,1.63507962,820.481854,NA,NA,5024.0780536,NA,0.00926897,76.6534364,NA
2215,1.60272397,809.646967,NA,NA,5424.8849906,NA,0.00890577,80.2197994,NA
2220,1.56686249,797.895109,NA,NA,5851.0853109,NA,0.00851169,83.8574391,NA
2225,1.52753596,785.454903,NA,NA,6304.8282622,NA,0.00808978,87.5773778,NA
2230,1.48487319,772.417384,NA,NA,6788.1973567,NA,0.00764421,91.3876633,NA
2235,1.43892278,758.826544,NA,NA,7303.2586099,NA,0.00717842,95.2941801,NA
2240,1.38967218,744.711735,NA,NA,7852.0889679,NA,0.00669543,99.3012421,NA
2245,1.337078,730.099082,NA,NA,8436.7957,NA,0.00619822,103.41201,NA
2250,1.28108436,715.015585,NA,NA,9059.530457,NA,0.00568996,107.628783,NA
2255,1.2216326,699.49075,NA,NA,9722.499348,NA,0.0051741,111.953202,NA
2260,1.15866691,683.557387,NA,NA,10427.969813,NA,0.00465448,116.386387,NA
2265,1.09213838,667.252095,NA,NA,11178.275359,NA,0.00413532,120.929041,NA
2270,1.02200847,650.615539,NA,NA,11975.817786,NA,0.00362129,125.581514,NA
2275,0.94825205,633.692518,NA,NA,12823.068252,NA,0.00311746,130.343848,NA
2280,0.87085979,616.531712,NA,NA,13722.566794,NA,0.00262936,135.215806,NA
2285,0.78983948,599.185037,NA,NA,14676.920905,NA,0.00216288,140.196895,NA
2290,0.70521575,581.706561,NA,NA,15688.803427,NA,0.00172424,145.286373,NA
2295,0.61702797,564.151087,NA,NA,16760.949838,NA,0.00131997,150.483262,NA
2300,0.52532762,546.572854,NA,NA,17896.154954,NA,0.00095678,155.786346,NA
2305,0.5580256,567.900727,NA,NA,19127.165688,NA,0.0010796,141.989812,NA
2310,0.5991965,579.841251,NA,NA,20390.550309,NA,0.00124478,146.855091,NA
2315,0.63145576,588.165158,NA,NA,21724.867046,NA,0.00138242,151.797354,NA
2320,0.65406419,594.191333,NA,NA,23134.328046,NA,0.00148318,156.819554,NA
2325,0.66934425,598.717285,NA,NA,24622.869927,NA,0.00155329,161.923573,NA
2330,0.67956856,602.255539,NA,NA,26194.374029,NA,0.00160111,167.110171,NA
2335,0.68641346,605.136156,NA,NA,27852.765491,NA,0.00163352,172.379209,NA
2340,0.69101661,607.571919,NA,NA,29602.059306,NA,0.00165551,177.729894,NA
2345,0.69412764,609.700202,NA,NA,31446.38384,NA,0.00167045,183.16096,NA
2350,0.69623593,611.609879,NA,NA,33389.994202,NA,0.00168061,188.670798,NA
2355,0.69766074,613.358637,NA,NA,35437.280456,NA,0.00168749,194.257544,NA
2360,0.69861116,614.984113,NA,NA,37592.773265,NA,0.0016921,199.919135,NA
2365,0.69922509,616.511065,NA,NA,39861.148154,NA,0.00169507,205.653346,NA
2370,0.69959439,617.955982,NA,NA,42247.22839,NA,0.00169686,211.45781,NA
2375,0.69978103,619.330041,NA,NA,44755.988463,NA,0.00169777,217.330037,NA
2380,0.69982749,620.641008,NA,NA,47392.555777,NA,0.00169799,223.267423,NA
2385,0.69976349,621.894457,NA,NA,50162.213245,NA,0.00169768,229.267255,NA
2390,0.69961028,623.094547,NA,NA,53070.401281,NA,0.00169694,235.326719,NA
2395,0.69938346,624.244521,NA,NA,56122.719398,NA,0.00169584,241.442902,NA
2400,0.6990948,625.34702,NA,NA,59324.928502,NA,0.00169444,247.612798,NA
2405,0.69875343,626.40429,NA,NA,62682.952089,NA,0.00169278,253.833311,NA
2410,0.6983666,627.418309,NA,NA,66202.878245,NA,0.00169091,260.101255,NA
2415,0.69794021,628.390866,NA,NA,69890.961336,NA,0.00168885,266.413364,NA
2420,0.69747921,629.323621,6659.47685,NA,73753.62271,NA,0.00168662,272.76629,NA
