"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2020,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154
2021,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.27027406541,1.27027406541,1.27027367326,1.27027367326,1.2703176506,1.2703176506,1.27031725839,1.27031725839
2022,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.28220886759,1.28220886759,1.28220598391,1.28220598391,1.28270002327,1.28270002327,1.28269713507,1.28269713507
2023,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.29166521622,1.29166521622,1.29165627017,1.29165627017,1.29326979874,1.29326979874,1.29326080554,1.29326080554
2024,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.30129489686,1.30129489686,1.30127537574,1.30127537574,1.30464928045,1.30464928045,1.30462953798,1.30462953798
2025,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.31198387404,1.31198387404,1.3119487084,1.3119487084,1.31765359767,1.31765359767,1.3176177498,1.3176177498
2026,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.32397450249,1.32397450249,1.32391837766,1.32391837766,1.33248051747,1.33248051747,1.33242276285,1.33242276285
2027,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.3372138926,1.3372138926,1.3371315788,1.3371315788,1.34906169333,1.34906169333,1.34897609316,1.34897609316
2028,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.35159572996,1.35159572996,1.35148224967,1.35148224967,1.36729173128,1.36729173128,1.36717237843,1.36717237843
2029,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.36697707339,1.36697707339,1.36682778973,1.36682778973,1.38703347402,1.38703347402,1.38687460376,1.38687460376
2030,1.51449214592,1.51449214592,1.51449214592,1.51449214592,1.51449214592,1.51449214592,1.51449214592,1.51449214592,1.38319956505,1.38319956505,1.38301023516,1.38301023516,1.40813173832,1.40813173832,1.40792781765,1.40792781765
2031,1.53577436819,1.53577436819,1.53577436819,1.53577436819,1.53577436819,1.53577436819,1.53577436819,1.53577436819,1.40000084123,1.40000084123,1.39976756555,1.39976756555,1.43031955461,1.43031955461,1.4300652756,1.4300652756
2032,1.55650509279,1.55650509279,1.55650509279,1.55650509279,1.55650509279,1.55650509279,1.55650509279,1.55650509279,1.41727267534,1.41727267534,1.41699162044,1.41699162044,1.45347103205,1.45347103205,1.45316108218,1.45316108218
2033,1.57679590592,1.57679590592,1.57679590592,1.57679590592,1.57679590592,1.57679590592,1.57679590592,1.57679590592,1.43504810463,1.43504810463,1.43471548133,1.43471548133,1.47758950432,1.47758950432,1.47721858325,1.47721858325
2034,1.59673417029,1.59673417029,1.59673417029,1.59673417029,1.59673417029,1.59673417029,1.59673417029,1.59673417029,1.45332736498,1.45332736498,1.45293946344,1.45293946344,1.50263865387,1.50263865387,1.50220153815,1.50220153815
2035,1.61638830037,1.61638830037,1.61638830037,1.61638830037,1.61638830037,1.61638830037,1.61638830037,1.61638830037,1.47209034932,1.47209034932,1.47164355906,1.47164355906,1.52855865621,1.52855865621,1.52805024309,1.52805024309
2036,1.63581178932,1.63581178932,1.63581178932,1.63581178932,1.63581178932,1.63581178932,1.63581178932,1.63581178932,1.49129354301,1.49129354301,1.49078435823,1.49078435823,1.55526476042,1.55526476042,1.55468009274,1.55468009274
2037,1.65504639666,1.65504639666,1.65504639666,1.65504639666,1.65504639666,1.65504639666,1.65504639666,1.65504639666,1.51089537309,1.51089537309,1.51032037768,1.51032037768,1.5826731878,1.5826731878,1.58200745448,1.58200745448
2038,1.67412487791,1.67412487791,1.67412487791,1.67412487791,1.67412487791,1.67412487791,1.67412487791,1.67412487791,1.53086401917,1.53086401917,1.53021988644,1.53021988644,1.61070947855,1.61070947855,1.60995802548,1.60995802548
2039,1.69307293283,1.69307293283,1.69307293283,1.69307293283,1.69307293283,1.69307293283,1.69307293283,1.69307293283,1.55116429724,1.55116429724,1.55044779124,1.55044779124,1.63929604883,1.63929604883,1.63845438764,1.63845438764
2040,1.71191074089,1.71191074089,1.71191074089,1.71191074089,1.71191074089,1.71191074089,1.71191074089,1.71191074089,1.57175988474,1.57175988474,1.57096785916,1.57096785916,1.66835497575,1.66835497575,1.66741878689,1.66741878689
2041,1.73062874164,1.73062874164,1.73062874164,1.73062874164,1.73062874164,1.73062874164,1.73062874164,1.73062874164,1.59260148394,1.59260148394,1.59173087713,1.59173087713,1.69779655334,1.69779655334,1.6967616823,1.6967616823
2042,1.7492215836,1.7492215836,1.7492215836,1.7492215836,1.7492215836,1.7492215836,1.7492215836,1.7492215836,1.61364663258,1.61364663258,1.61269445549,1.61269445549,1.72753927175,1.72753927175,1.72640171556,1.72640171556
2043,1.76770860073,1.76770860073,1.76770860073,1.76770860073,1.76770860073,1.76770860073,1.76770860073,1.76770860073,1.63486920473,1.63486920473,1.6338325371,1.6338325371,1.75751955653,1.75751955653,1.75627545584,1.75627545584
2044,1.78610498559,1.78610498559,1.78610498559,1.78610498559,1.78610498559,1.78610498559,1.78610498559,1.78610498559,1.65624348935,1.65624348935,1.65511947793,1.65511947793,1.78767633892,1.78767633892,1.78632197061,1.78632197061
