"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2020,886.512801,886.512801,886.512801,886.512801,886.512801,886.512801,886.512801,886.512801,887,887,887,887,887,887,887,887
2021,892.3539504,892.3539504,892.3539504,892.3539504,892.3539504,892.3539504,892.3539504,892.3539504,864.431296178,864.431296178,864.42957083,864.42957083,864.671798672,864.671798672,864.670072248,864.670072248
2022,898.1950998,898.1950998,898.1950998,898.1950998,898.1950998,898.1950998,898.1950998,898.1950998,859.185097201,859.185097201,859.178480905,859.178480905,860.421299529,860.421299529,860.41465348,860.41465348
2023,904.0362492,904.0362492,904.0362492,904.0362492,904.0362492,904.0362492,904.0362492,904.0362492,859.324019567,859.324019567,859.309672338,859.309672338,861.865017585,861.865017585,861.850490804,861.850490804
2024,909.8773986,909.8773986,909.8773986,909.8773986,909.8773986,909.8773986,909.8773986,909.8773986,861.508601449,861.508601449,861.483945359,861.483945359,865.478973508,865.478973508,865.453728566,865.453728566
2025,915.718548,915.718548,915.718548,915.718548,915.718548,915.718548,915.718548,915.718548,864.755190248,864.755190248,864.71786885,864.71786885,870.276345043,870.276345043,870.237616996,870.237616996
2026,920.5276608,920.5276608,920.5276608,920.5276608,920.5276608,920.5276608,920.5276608,920.5276608,868.601772188,868.601772188,868.549775147,868.549775147,875.828501935,875.828501935,875.773732105,875.773732105
2027,925.3367736,925.3367736,925.3367736,925.3367736,925.3367736,925.3367736,925.3367736,925.3367736,872.77718738,872.77718738,872.708873094,872.708873094,881.895141358,881.895141358,881.822021272,881.822021272
2028,930.1458864,930.1458864,930.1458864,930.1458864,930.1458864,930.1458864,930.1458864,930.1458864,877.174919456,877.174919456,877.088863235,877.088863235,888.387823721,888.387823721,888.294172342,888.294172342
2029,934.9549992,934.9549992,934.9549992,934.9549992,934.9549992,934.9549992,934.9549992,934.9549992,881.713600286,881.713600286,881.608575589,881.608575589,895.231840152,895.231840152,895.115615195,895.115615195
2030,939.764112,939.764112,939.764112,939.764112,939.764112,939.764112,939.764112,939.764112,886.327824075,886.327824075,886.20278556,886.20278556,902.358908512,902.358908512,902.218216962,902.218216962
2031,944.74461,944.74461,944.74461,944.74461,944.74461,944.74461,944.74461,944.74461,891.111467989,891.111467989,890.965152936,890.965152936,909.851983399,909.851983399,909.684700039,909.684700039
2032,949.725108,949.725108,949.725108,949.725108,949.725108,949.725108,949.725108,949.725108,896.155844635,896.155844635,895.9867136,895.9867136,917.782798356,917.782798356,917.586515738,917.586515738
2033,954.705606,954.705606,954.705606,954.705606,954.705606,954.705606,954.705606,954.705606,901.415917882,901.415917882,901.222487336,901.222487336,926.085747697,926.085747697,925.858114916,925.858114916
2034,959.686104,959.686104,959.686104,959.686104,959.686104,959.686104,959.686104,959.686104,906.857430062,906.857430062,906.638257141,906.638257141,934.710123431,934.710123431,934.448832655,934.448832655
2035,964.666602,964.666602,964.666602,964.666602,964.666602,964.666602,964.666602,964.666602,912.452417839,912.452417839,912.20609288,912.20609288,943.613329693,943.613329693,943.316112252,943.316112252
2036,969.6892274,969.6892274,969.6892274,969.6892274,969.6892274,969.6892274,969.6892274,969.6892274,918.184620258,918.184620258,917.909733848,917.909733848,952.764913721,952.764913721,952.429509713,952.429509713
2037,974.7118528,974.7118528,974.7118528,974.7118528,974.7118528,974.7118528,974.7118528,974.7118528,924.040888144,924.040888144,923.736024521,923.736024521,962.137169197,962.137169197,961.76132295,961.76132295
2038,979.7344782,979.7344782,979.7344782,979.7344782,979.7344782,979.7344782,979.7344782,979.7344782,930.003984219,930.003984219,929.667743233,929.667743233,971.69823409,971.69823409,971.279718323,971.279718323
2039,984.7571036,984.7571036,984.7571036,984.7571036,984.7571036,984.7571036,984.7571036,984.7571036,936.059181192,936.059181192,935.690175258,935.690175258,981.41918558,981.41918558,980.955799153,980.955799153
2040,989.779729,989.779729,989.779729,989.779729,989.779729,989.779729,989.779729,989.779729,942.193669959,942.193669959,941.7905221,941.7905221,991.273428466,991.273428466,990.762994662,990.762994662
2041,994.7619052,994.7619052,994.7619052,994.7619052,994.7619052,994.7619052,994.7619052,994.7619052,948.398468027,948.398468027,947.959797707,947.959797707,1001.23861638,1001.23861638,1000.67896737,1000.67896737
2042,999.7440814,999.7440814,999.7440814,999.7440814,999.7440814,999.7440814,999.7440814,999.7440814,954.665708557,954.665708557,954.190129851,954.190129851,1011.29368346,1011.29368346,1010.68265669,1010.68265669
2043,1004.7262576,1004.7262576,1004.7262576,1004.7262576,1004.7262576,1004.7262576,1004.7262576,1004.7262576,960.986301397,960.986301397,960.47243451,960.47243451,1021.41694689,1021.41694689,1020.75239554,1020.75239554
2044,1009.7084338,1009.7084338,1009.7084338,1009.7084338,1009.7084338,1009.7084338,1009.7084338,1009.7084338,967.352024128,967.352024128,966.798495413,966.798495413,1031.58876274,1031.58876274,1030.86855405,1030.86855405
2045,1014.69061,1014.69061,1014.69061,1014.69061,1014.69061,1014.69061,1014.69061,1014.69061,973.755323573,973.755323573,973.160766127,973.160766127,1041.791273,1041.791273,1041.01328714,1041.01328714
2046,1019.553124,1019.553124,1019.553124,1019.553124,1019.553124,1019.553124,1019.553124,1019.553124,980.19052678,980.19052678,979.55357153,979.55357153,1052.0094991,1052.0094991,1051.17161747,1051.17161747
2047,1024.415638,1024.415638,1024.415638,1024.415638,1024.415638,1024.415638,1024.415638,1024.415638,986.652276645,986.652276645,985.971553202,985.971553202,1062.22926151,1062.22926151,1061.3293651,1061.3293651
2048,1029.278152,1029.278152,1029.278152,1029.278152,1029.278152,1029.278152,1029.278152,1029.278152,993.134241087,993.134241087,992.408388709,992.408388709,1072.43623093,1072.43623093,1071.47221048,1071.47221048
2049,1034.140666,1034.140666,1034.140666,1034.140666,1034.140666,1034.140666,1034.140666,1034.140666,999.630405964,999.630405964,998.858075442,998.858075442,1082.61776812,1082.61776812,1081.58752524,1081.58752524
2050,1039.00318,1039.00318,1039.00318,1039.00318,1039.00318,1039.00318,1039.00318,1039.00318,1006.13499898,1006.13499898,1005.31485488,1005.31485488,1092.76265502,1092.76265502,1091.66410404,1091.66410404
2051,1043.834436,1043.834436,1043.834436,1043.834436,1043.834436,1043.834436,1043.834436,1043.834436,1012.66245864,1012.66245864,1011.79305319,1011.79305319,1102.88084511,1102.88084511,1101.71176737,1101.71176737
2052,1048.665692,1048.665692,1048.665692,1048.665692,1048.665692,1048.665692,1048.665692,1048.665692,1019.22599122,1019.22599122,1018.30576314,1018.30576314,1113.16784899,1113.16784899,1111.89918319,1111.89918319
2053,1053.496948,1053.496948,1053.496948,1053.496948,1053.496948,1053.496948,1053.496948,1053.496948,1025.81949338,1025.81949338,1024.8468899,1024.8468899,1123.74887991,1123.74887991,1122.38252115,1122.38252115
2054,1058.328204,1058.328204,1058.328204,1058.328204,1058.328204,1058.328204,1058.328204,1058.328204,1032.4375591,1032.4375591,1031.41103552,1031.41103552,1134.52825795,1134.52825795,1133.06587769,1133.06587769
2055,1063.15946,1063.15946,1063.15946,1063.15946,1063.15946,1063.15946,1063.15946,1063.15946,1039.07505093,1039.07505093,1037.99307239,1037.99307239,1145.44112904,1145.44112904,1143.88310287,1143.88310287
2056,1067.890784,1067.890784,1067.890784,1067.890784,1067.890784,1067.890784,1067.890784,1067.890784,1045.73045843,1045.73045843,1044.59147429,1044.59147429,1156.4432883,1156.4432883,1154.78921929,1154.78921929
2057,1072.622108,1072.622108,1072.622108,1072.622108,1072.622108,1072.622108,1072.622108,1072.622108,1052.40211397,1052.40211397,1051.20455955,1051.20455955,1167.50079192,1167.50079192,1165.74978504,1165.74978504
2058,1077.353432,1077.353432,1077.353432,1077.353432,1077.353432,1077.353432,1077.353432,1077.353432,1059.08505672,1059.08505672,1057.8273821,1057.8273821,1178.58368203,1178.58368203,1176.73453487,1176.73453487
2059,1082.084756,1082.084756,1082.084756,1082.084756,1082.084756,1082.084756,1082.084756,1082.084756,1065.77450266,1065.77450266,1064.45517495,1064.45517495,1189.66780247,1189.66780247,1187.71910441,1187.71910441
2060,1086.81608,1086.81608,1086.81608,1086.81608,1086.81608,1086.81608,1086.81608,1086.81608,1072.46576574,1072.46576574,1071.08327195,1071.08327195,1200.73320314,1200.73320314,1198.6833991,1198.6833991
2061,1091.383558,1091.383558,1091.383558,1091.383558,1091.383558,1091.383558,1091.383558,1091.383558,1079.15721228,1079.15721228,1077.71003487,1077.71003487,1211.76601138,1211.76601138,1209.61341031,1209.61341031
2062,1095.951036,1095.951036,1095.951036,1095.951036,1095.951036,1095.951036,1095.951036,1095.951036,1085.84698343,1085.84698343,1084.33360317,1084.33360317,1222.75402655,1222.75402655,1220.49682783,1220.49682783
2063,1100.518514,1100.518514,1100.518514,1100.518514,1100.518514,1100.518514,1100.518514,1100.518514,1092.53033051,1092.53033051,1090.94925583,1090.94925583,1233.68394645,1233.68394645,1231.32029182,1231.32029182
2064,1105.085992,1105.085992,1105.085992,1105.085992,1105.085992,1105.085992,1105.085992,1105.085992,1099.20262641,1099.20262641,1097.55239644,1097.55239644,1244.54459301,1244.54459301,1242.07258342,1242.07258342
2065,1109.65347,1109.65347,1109.65347,1109.65347,1109.65347,1109.65347,1109.65347,1109.65347,1105.85930565,1105.85930565,1104.13849366,1104.13849366,1255.32644254,1255.32644254,1252.74415266,1252.74415266
2066,1113.988646,1113.988646,1113.988646,1113.988646,1113.988646,1113.988646,1113.988646,1113.988646,1112.4982919,1112.4982919,1110.70548345,1110.70548345,1266.02365649,1266.02365649,1263.32911542,1263.32911542
2067,1118.323822,1118.323822,1118.323822,1118.323822,1118.323822,1118.323822,1118.323822,1118.323822,1119.11725572,1119.11725572,1117.25105266,1117.25105266,1276.63060397,1276.63060397,1273.82180507,1273.82180507
2068,1122.658998,1122.658998,1122.658998,1122.658998,1122.658998,1122.658998,1122.658998,1122.658998,1125.71145996,1125.71145996,1123.77050893,1123.77050893,1287.13991108,1287.13991108,1284.21485352,1284.21485352
2069,1126.994174,1126.994174,1126.994174,1126.994174,1126.994174,1126.994174,1126.994174,1126.994174,1132.2762599,1132.2762599,1130.25925601,1130.25925601,1297.54543186,1297.54543186,1294.50213286,1294.50213286
2070,1131.32935,1131.32935,1131.32935,1131.32935,1131.32935,1131.32935,1131.32935,1131.32935,1138.80705825,1138.80705825,1136.71274918,1136.71274918,1307.84193313,1307.84193313,1304.67844028,1304.67844028
2071,1135.356526,1135.356526,1135.356526,1135.356526,1135.356526,1135.356526,1135.356526,1135.356526,1145.30115364,1145.30115364,1143.12832171,1143.12832171,1318.02663893,1318.02663893,1314.74101362,1314.74101362
2072,1139.383702,1139.383702,1139.383702,1139.383702,1139.383702,1139.383702,1139.383702,1139.383702,1151.7555789,1151.7555789,1149.50304636,1149.50304636,1328.09636872,1328.09636872,1324.68669636,1324.68669636
2073,1143.410878,1143.410878,1143.410878,1143.410878,1143.410878,1143.410878,1143.410878,1143.410878,1158.16550168,1158.16550168,1155.83215668,1155.83215668,1338.04622208,1338.04622208,1334.5106506,1334.5106506
2074,1147.438054,1147.438054,1147.438054,1147.438054,1147.438054,1147.438054,1147.438054,1147.438054,1164.52616444,1164.52616444,1162.1109653,1162.1109653,1347.87208998,1347.87208998,1344.20884251,1344.20884251
2075,1151.46523,1151.46523,1151.46523,1151.46523,1151.46523,1151.46523,1151.46523,1151.46523,1170.8328529,1170.8328529,1168.33483264,1168.33483264,1357.57040362,1357.57040362,1353.77779089,1353.77779089
2076,1155.10009,1155.10009,1155.10009,1155.10009,1155.10009,1155.10009,1155.10009,1155.10009,1177.08211781,1177.08211781,1174.50037201,1174.50037201,1367.13908887,1367.13908887,1363.21549893,1363.21549893
2077,1158.73495,1158.73495,1158.73495,1158.73495,1158.73495,1158.73495,1158.73495,1158.73495,1183.27023758,1183.27023758,1180.60393088,1180.60393088,1376.57533161,1376.57533161,1372.51924064,1372.51924064
2078,1162.36981,1162.36981,1162.36981,1162.36981,1162.36981,1162.36981,1162.36981,1162.36981,1189.39221819,1189.39221819,1186.6406059,1186.6406059,1385.87491069,1385.87491069,1381.68491524,1381.68491524
2079,1166.00467,1166.00467,1166.00467,1166.00467,1166.00467,1166.00467,1166.00467,1166.00467,1195.44312841,1195.44312841,1192.60556122,1192.60556122,1395.03417252,1395.03417252,1390.70900191,1390.70900191
2080,1169.63953,1169.63953,1169.63953,1169.63953,1169.63953,1169.63953,1169.63953,1169.63953,1201.4180811,1201.4180811,1198.49400986,1198.49400986,1404.04982457,1404.04982457,1399.58835253,1399.58835253
