"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,119.065096424,120.625940285,118.229299634,119.779054027,119.065096424,120.625940285,118.229299634,119.779054027,119.067728059,120.628622989,118.236966659,119.786869841,119.067721755,120.628616548,118.236948293,119.786851075
2022,237.865028458,244.153406383,236.136944026,242.37859766,237.865028458,244.153406383,236.136944026,242.37859766,237.881624813,244.170640873,236.185305861,242.428819082,237.881469526,244.170478827,236.18485341,242.42834694
2023,356.33115184,370.578310857,353.658763981,367.795636317,356.33115184,370.578310857,353.658763981,367.795636317,356.376176432,370.625917605,353.789990606,367.934389162,356.375334514,370.625021008,353.787537435,367.931776667
2024,474.397766103,499.895632491,470.7329944,496.025890283,474.397766103,499.895632491,470.7329944,496.025890283,474.485553926,499.990110732,470.988906027,496.301306704,474.483026793,499.987365427,470.981542206,496.293307148
2025,592.002066882,632.099435345,587.300309843,627.063860235,592.002066882,632.099435345,587.300309843,627.063860235,592.145868994,632.256912781,587.719594691,627.52302243,592.14023552,632.250671536,587.703178618,627.50483528
2026,709.060657532,767.155726255,703.281026453,760.876444059,709.060657532,767.155726255,703.281026453,760.876444059,709.272262112,767.391458883,703.89813674,761.563929511,709.261716432,767.379545145,703.867404894,761.529210859
2027,825.489398038,905.023531867,818.594997346,897.424101066,825.489398038,905.023531867,818.594997346,897.424101066,825.77883296,905.351451112,819.439279876,898.380662285,825.761201483,905.331140654,819.387895845,898.321470643
2028,941.228461446,1045.68455643,933.185652342,1036.68932832,941.228461446,1045.68455643,933.185652342,1036.68932832,941.60413323,1046.11730341,934.28175118,1037.9519925,941.576873189,1046.08528373,934.20230077,1037.85866956
2029,1056.2206932,1189.11900813,1046.99869534,1178.65282921,1056.2206932,1189.11900813,1046.99869534,1178.65282921,1056.68959967,1189.66806939,1048.36716958,1180.25529374,1056.64979215,1189.62039011,1048.25113966,1180.11631851
2030,1170.41167221,1335.30573631,1159.98223122,1323.29369525,1170.41167221,1335.30573631,1159.98223122,1323.29369525,1170.97960661,1335.98158919,1161.64014767,1325.26675108,1170.92394948,1335.9136093,1161.47790454,1325.06858472
2031,1283.74203024,1484.21217598,1272.07994847,1470.58045598,1283.74203024,1484.21217598,1272.07994847,1470.58045598,1284.41370959,1485.02435517,1274.04125207,1472.95217894,1284.33852819,1484.93071065,1273.82207169,1472.6791686
2032,1396.15986712,1635.81025582,1383.24297934,1620.48630861,1396.15986712,1635.81025582,1383.24297934,1620.48630861,1396.93907234,1636.76744861,1385.5188985,1623.28233491,1396.84033395,1636.64202405,1385.23100764,1622.91662927
2033,1507.62581874,1790.08398289,1493.43406273,1772.99547208,1507.62581874,1790.08398289,1493.43406273,1772.99547208,1508.51551845,1791.19411548,1496.03346953,1776.23925101,1508.38883867,1791.03000443,1495.66406301,1775.76068214
2034,1618.10285568,1947.01653548,1602.6180734,1928.09119239,1618.10285568,1947.01653548,1602.6180734,1928.09119239,1619.10526384,1948.28677922,1605.54765001,1931.80400393,1618.94592923,1948.07626611,1605.08295515,1931.19003155
2035,1727.55622885,2106.59028828,1710.76199837,2085.75579195,1727.55622885,2106.59028828,1710.76199837,2085.75579195,1728.6728671,2108.02707703,1714.02641703,2089.95679668,1728.47586206,2107.7616262,1713.45177055,2089.18247321
2036,1835.93704073,2268.76223114,1817.81903297,2245.94685958,1835.93704073,2268.76223114,1817.81903297,2245.94685958,1837.16876058,2270.3712238,1821.42101828,2250.65298752,1836.92881353,2270.0414993,1820.72099966,2249.69101252
2037,1943.19878028,2433.48720912,1923.74463588,2408.61980782,1943.19878028,2433.48720912,1923.74463588,2408.61980782,1944.54583271,2435.27332541,1927.68516608,2413.84586165,1944.25745313,2434.86920134,1926.84370411,2412.66660849
2038,2049.31354182,2600.7432204,2028.51226478,2573.75240935,2049.31354182,2600.7432204,2028.51226478,2573.75240935,2050.77567648,2602.71072968,2032.79086012,2579.51132349,2050.43317452,2602.22127722,2031.79128888,2578.08279785
2039,2154.25548997,2770.50752321,2132.09735508,2741.32164126,2154.25548997,2770.50752321,2132.09735508,2741.32164126,2155.8320058,2772.66006795,2136.71222405,2747.62454924,2155.42952707,2772.07356808,2135.53738312,2745.91242247
2040,2258.00080062,2942.75666007,2234.47727232,2911.30371912,2258.00080062,2942.75666007,2234.47727232,2911.30371912,2259.69059413,2945.0972807,2239.42545109,2918.16002524,2259.2221551,2944.40124196,2238.05778776,2916.12768216
2041,2360.51468508,3117.4443755,2335.61880448,3083.65280793,2360.51468508,3117.4443755,2335.61880448,3083.65280793,2362.31625645,3119.97546877,2340.89617248,3091.07006297,2361.77580385,3119.15669043,2339.31791435,3088.67878272
