"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2020,134.157932865,134.157932865,132.787249299,132.787249299,134.157932865,134.157932865,132.787249299,132.787249299,134.157932865,134.157932865,132.787249299,132.787249299,134.157932865,134.157932865,132.787249299,132.787249299
2021,138.372434938,138.372434938,136.832920906,136.832920906,138.372434938,138.372434938,136.832920906,136.832920906,138.38544961,138.38544961,136.870443331,136.870443331,138.385395796,138.385395796,136.870288178,136.870288178
2022,142.656045905,142.656045905,140.944213931,140.944213931,142.656045905,142.656045905,140.944213931,140.944213931,142.695527076,142.695527076,141.05799614,141.05799614,142.694890569,142.694890569,141.056161766,141.056161766
2023,147.008576084,147.008576084,145.12032754,145.12032754,147.008576084,147.008576084,145.12032754,145.12032754,147.078654342,147.078654342,145.32221701,145.32221701,147.076473761,147.076473761,145.31593525,145.31593525
2024,151.429853917,151.429853917,149.3605167,149.3605167,151.429853917,151.429853917,149.3605167,149.3605167,151.531655632,151.531655632,149.653708132,149.653708132,151.526874367,151.526874367,149.639939883,149.639939883
2025,155.919726854,155.919726854,153.664093661,153.664093661,155.919726854,155.919726854,153.664093661,153.664093661,156.053271044,156.053271044,154.0486022,154.0486022,156.044791216,156.044791216,154.024193111,154.024193111
2026,160.473762693,160.473762693,158.026992645,158.026992645,160.473762693,160.473762693,158.026992645,158.026992645,160.638103663,160.638103663,158.500067024,158.500067024,160.624749228,160.624749228,158.461641508,158.461641508
2027,165.083815056,165.083815056,162.441862882,162.441862882,165.083815056,165.083815056,162.441862882,162.441862882,165.2774272,165.2774272,162.999094509,162.999094509,165.257899581,165.257899581,162.942928445,162.942928445
2028,169.747470493,169.747470493,166.905743898,166.905743898,169.747470493,169.747470493,166.905743898,166.905743898,169.968933245,169.968933245,167.543037531,167.543037531,169.941776012,169.941776012,167.464957203,167.464957203
2029,174.462472229,174.462472229,171.415883191,171.415883191,174.462472229,174.462472229,171.415883191,171.415883191,174.710518784,174.710518784,172.129595089,172.129595089,174.67409722,174.67409722,172.024919028,172.024919028
2030,179.226709096,179.226709096,175.969718849,175.969718849,179.226709096,179.226709096,175.969718849,175.969718849,179.500257784,179.500257784,176.756745178,176.756745178,179.45275028,179.45275028,176.620260043,176.620260043
2031,184.16770788,184.16770788,180.693682687,180.693682687,184.16770788,184.16770788,180.693682687,180.693682687,184.465985055,184.465985055,181.551812271,181.551812271,184.405374886,184.405374886,181.377749781,181.377749781
2032,189.18403094,189.18403094,185.486875645,185.486875645,189.18403094,189.18403094,185.486875645,185.486875645,189.506228451,189.506228451,186.413804651,186.413804651,189.43033482,189.43033482,186.19593143,186.19593143
2033,194.275532254,194.275532254,190.348737707,190.348737707,194.275532254,194.275532254,190.348737707,190.348737707,194.620754705,194.620754705,191.341918273,191.341918273,194.527238655,194.527238655,191.073553428,191.073553428
2034,199.442090626,199.442090626,195.278764131,195.278764131,199.442090626,199.442090626,195.278764131,195.278764131,199.809385274,199.809385274,196.335490181,196.335490181,199.695762406,199.695762406,196.009542414,196.009542414
2035,204.683606957,204.683606957,200.276497617,200.276497617,204.683606957,204.683606957,200.276497617,200.276497617,205.071983585,205.071983585,201.393961847,201.393961847,204.935633479,204.935633479,201.002957091,201.002957091
2036,210.046557029,210.046557029,205.387006263,205.387006263,210.046557029,210.046557029,205.387006263,205.387006263,210.45512043,210.45512043,206.562681075,206.562681075,210.293258994,210.293258994,206.098683864,206.098683864
2037,215.487383011,215.487383011,210.567325315,210.567325315,215.487383011,215.487383011,210.567325315,210.567325315,215.91515104,215.91515104,211.798439418,211.798439418,215.724900558,215.724900558,211.253254362,211.253254362
2038,221.005906183,221.005906183,215.816971273,215.816971273,221.005906183,221.005906183,215.816971273,215.816971273,221.451866661,221.451866661,217.100673627,217.100673627,221.230241307,221.230241307,216.46580442,216.46580442
