"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2020,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174,0.00609507122174
2021,0.00984057867091,0.00984057867091,0.00983711552751,0.00983711552751,0.00984057867091,0.00984057867091,0.00983711552751,0.00983711552751,0.00984058994853,0.00984058994853,0.00983714807204,0.00983714807204,0.00984058992121,0.00984058992121,0.00983714799321,0.00983714799321
2022,0.0147558061267,0.0147558061267,0.0147455790249,0.0147455790249,0.0147558061267,0.0147558061267,0.0147455790249,0.0147455790249,0.0147559101059,0.0147559101059,0.0147458792298,0.0147458792298,0.0147559091102,0.0147559091102,0.0147458763552,0.0147458763552
2023,0.0209573216026,0.0209573216026,0.0209358658353,0.0209358658353,0.0209573216026,0.0209573216026,0.0209358658353,0.0209358658353,0.0209577117458,0.0209577117458,0.0209369927776,0.0209369927776,0.0209577042008,0.0209577042008,0.020936970987,0.020936970987
2024,0.0285523505319,0.0285523505319,0.0285139638526,0.0285139638526,0.0285523505319,0.0285523505319,0.0285139638526,0.0285139638526,0.0285533590933,0.0285533590933,0.0285168784786,0.0285168784786,0.0285533287693,0.0285533287693,0.0285167908688,0.0285167908688
2025,0.0376390646379,0.0376390646379,0.0375767511573,0.0375767511573,0.0376390646379,0.0376390646379,0.0375767511573,0.0375767511573,0.0376411834348,0.0376411834348,0.0375828770549,0.0375828770549,0.0376410958828,0.0376410958828,0.0375826240242,0.0375826240242
2026,0.0717668801887,0.0717668801887,0.0716263831368,0.0716263831368,0.0717668801887,0.0717668801887,0.0716263831368,0.0716263831368,0.0717726636822,0.0717726636822,0.0716431120826,0.0716431120826,0.0717723564966,0.0717723564966,0.071642224038,0.071642224038
2027,0.12038730455,0.12038730455,0.120116295957,0.120116295957,0.12038730455,0.12038730455,0.120116295957,0.120116295957,0.120400213921,0.120400213921,0.12015365366,0.12015365366,0.120399366329,0.120399366329,0.12015120271,0.12015120271
2028,0.185354086043,0.185354086043,0.184883984498,0.184883984498,0.185354086043,0.185354086043,0.184883984498,0.184883984498,0.185379180656,0.185379180656,0.184956637229,0.184956637229,0.185377193902,0.185377193902,0.184950890844,0.184950890844
2029,0.268354936492,0.268354936492,0.267599948614,0.267599948614,0.268354936492,0.268354936492,0.267599948614,0.267599948614,0.268399048793,0.268399048793,0.267727718251,0.267727718251,0.268394908851,0.268394908851,0.267715741522,0.267715741522
2030,0.370926794821,0.370926794821,0.369783192145,0.369783192145,0.370926794821,0.370926794821,0.369783192145,0.369783192145,0.370998637699,0.370998637699,0.369991376897,0.369991376897,0.370990744655,0.370990744655,0.369968538048,0.369968538048
