"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2020,0.00539254787672,0.00539254787672,0.0155539309972,0.0155539309972,0.00539254787672,0.00539254787672,0.0155539309972,0.0155539309972,0.00539254787672,0.00539254787672,0.0155539309972,0.0155539309972,0.00539254787672,0.00539254787672,0.0155539309972,0.0155539309972
2021,0.00568671235793,0.00568671235793,0.0164024008016,0.0164024008016,0.00568671235793,0.00568671235793,0.0164024008016,0.0164024008016,0.00559433802974,0.00559433802974,0.0161359520498,0.0161359520498,0.00559472193821,0.00559472193821,0.0161370593696,0.0161370593696
2022,0.00596802641954,0.00596802641954,0.017213805652,0.017213805652,0.00596802641954,0.00596802641954,0.017213805652,0.017213805652,0.0056999545643,0.0056999545643,0.0164405218517,0.0164405218517,0.0057043221854,0.0057043221854,0.0164531194032,0.0164531194032
2023,0.00623948685863,0.00623948685863,0.017996789324,0.017996789324,0.00623948685863,0.00623948685863,0.017996789324,0.017996789324,0.00578433943971,0.00578433943971,0.0166837592026,0.0166837592026,0.00579871965964,0.00579871965964,0.0167252351114,0.0167252351114
2024,0.00650357074979,0.00650357074979,0.0187584965382,0.0187584965382,0.00650357074979,0.00650357074979,0.0187584965382,0.0187584965382,0.00587090827256,0.00587090827256,0.016933176035,0.016933176035,0.00590121448581,0.00590121448581,0.0170205823136,0.0170205823136
2025,0.00676230593439,0.00676230593439,0.0195047762746,0.0195047762746,0.00676230593439,0.00676230593439,0.0195047762746,0.0195047762746,0.00596775294449,0.00596775294449,0.0172120941348,0.0172120941348,0.00601944354895,0.00601944354895,0.0173611653459,0.0173611653459
2026,0.00701373336635,0.00701373336635,0.020229977982,0.020229977982,0.00701373336635,0.00701373336635,0.020229977982,0.020229977982,0.00607733371141,0.00607733371141,0.017527598707,0.017527598707,0.00615567351011,0.00615567351011,0.0177535041897,0.0177535041897
2027,0.00725644748289,0.00725644748289,0.0209300475422,0.0209300475422,0.00725644748289,0.00725644748289,0.0209300475422,0.0209300475422,0.00619948482815,0.00619948482815,0.0178792085903,0.0178792085903,0.00630982715753,0.00630982715753,0.0181973649992,0.0181973649992
2028,0.00749264277359,0.00749264277359,0.0216113146051,0.0216113146051,0.00749264277359,0.00749264277359,0.0216113146051,0.0216113146051,0.00633355379677,0.00633355379677,0.0182650427118,0.0182650427118,0.00648151031408,0.00648151031408,0.0186916031233,0.0186916031233
2029,0.00772408980976,0.00772408980976,0.0222788860968,0.0222788860968,0.00772408980976,0.00772408980976,0.0222788860968,0.0222788860968,0.00647852744854,0.00647852744854,0.0186821820678,0.0186821820678,0.00667002906188,0.00667002906188,0.0192342116656,0.0192342116656
2030,0.00795221095704,0.00795221095704,0.0229368646006,0.0229368646006,0.00795221095704,0.00795221095704,0.0229368646006,0.0229368646006,0.00663320667441,0.00663320667441,0.0191271731056,0.0191271731056,0.00687448891885,0.00687448891885,0.0198226073972,0.0198226073972
2031,0.00817727628894,0.00817727628894,0.0235860290999,0.0235860290999,0.00817727628894,0.00817727628894,0.0235860290999,0.0235860290999,0.00679532816637,0.00679532816637,0.0195934923756,0.0195934923756,0.00709283723615,0.00709283723615,0.0204508669249,0.0204508669249
2032,0.00839952899615,0.00839952899615,0.0242270810388,0.0242270810388,0.00839952899615,0.00839952899615,0.0242270810388,0.0242270810388,0.00696403058634,0.00696403058634,0.020078652524,0.020078652524,0.00732430806817,0.00732430806817,0.0211167713075,0.0211167713075
2033,0.00861995123536,0.00861995123536,0.0248628532892,0.0248628532892,0.00861995123536,0.00861995123536,0.0248628532892,0.0248628532892,0.00713981173804,0.00713981173804,0.0205840851237,0.0205840851237,0.00756939966693,0.00756939966693,0.0218217474269,0.0218217474269
2034,0.00883932455664,0.00883932455664,0.0254956001057,0.0254956001057,0.00883932455664,0.00883932455664,0.0254956001057,0.0254956001057,0.00732286021007,0.00732286021007,0.0211103308442,0.0211103308442,0.00782821877791,0.00782821877791,0.0225660946121,0.0225660946121
2035,0.009058269514,0.009058269514,0.0261271113758,0.0261271113758,0.009058269514,0.009058269514,0.0261271113758,0.0261271113758,0.00751316233812,0.00751316233812,0.0216573476492,0.0216573476492,0.00810061625749,0.00810061625749,0.023349375454,0.023349375454
2036,0.00927727668835,0.00927727668835,0.0267588021008,0.0267588021008,0.00927727668835,0.00927727668835,0.0267588021008,0.0267588021008,0.00771045694777,0.00771045694777,0.0222243800273,0.0222243800273,0.0083861476628,0.0083861476628,0.0241703019076,0.0241703019076
2037,0.00949673211986,0.00949673211986,0.027391785751,0.027391785751,0.00949673211986,0.00949673211986,0.027391785751,0.027391785751,0.0079144843401,0.0079144843401,0.0228106764325,0.0228106764325,0.00868433027198,0.00868433027198,0.0250274758604,0.0250274758604
2038,0.00971694046843,0.00971694046843,0.0280269410684,0.0280269410684,0.00971694046843,0.00971694046843,0.0280269410684,0.0280269410684,0.00812506928486,0.00812506928486,0.0234157290087,0.0234157290087,0.00899473287916,0.00899473287916,0.0259196484379,0.0259196484379
2039,0.00993814147902,0.00993814147902,0.0286649595588,0.0286649595588,0.00993814147902,0.00993814147902,0.0286649595588,0.0286649595588,0.00834198571722,0.00834198571722,0.0240388835336,0.0240388835336,0.00931683975426,0.00931683975426,0.0268453278039,0.0268453278039
2040,0.01016052328,0.01016052328,0.0293063838476,0.0293063838476,0.01016052328,0.01016052328,0.0293063838476,0.0293063838476,0.00856497781202,0.00856497781202,0.0246794001452,0.0246794001452,0.00965007666321,0.00965007666321,0.0278028541089,0.0278028541089
2041,0.0103839279421,0.0103839279421,0.0299507584138,0.0299507584138,0.0103839279421,0.0103839279421,0.0299507584138,0.0299507584138,0.00879362768024,0.00879362768024,0.025336071852,0.025336071852,0.00999367304432,0.00999367304432,0.0287900020654,0.0287900020654
2042,0.0106082439069,0.0106082439069,0.0305977614852,0.0305977614852,0.0106082439069,0.0106082439069,0.0305977614852,0.0305977614852,0.00902756686194,0.00902756686194,0.0260078340678,0.0260078340678,0.0103468868401,0.0103468868401,0.0298046288349,0.0298046288349
2043,0.0108336597478,0.0108336597478,0.0312479369709,0.0312479369709,0.0108336597478,0.0108336597478,0.0312479369709,0.0312479369709,0.00926658829655,0.00926658829655,0.026694087593,0.026694087593,0.0107091295958,0.0107091295958,0.030845034768,0.030845034768
2044,0.0110603229247,0.0110603229247,0.0319017101954,0.0319017101954,0.0110603229247,0.0110603229247,0.0319017101954,0.0319017101954,0.00951047503367,0.00951047503367,0.0273942048623,0.0273942048623,0.0110797924637,0.0110797924637,0.0319094618269,0.0319094618269
2045,0.0112883482956,0.0112883482956,0.0325594124477,0.0325594124477,0.0112883482956,0.0112883482956,0.0325594124477,0.0325594124477,0.00975900557335,0.00975900557335,0.0281075453443,0.0281075453443,0.0114582590266,0.0114582590266,0.0329961305082,0.0329961305082
2046,0.0115171660812,0.0115171660812,0.0332194002919,0.0332194002919,0.0115171660812,0.0115171660812,0.0332194002919,0.0332194002919,0.0100117433399,0.0100117433399,0.0288328487313,0.0288328487313,0.0118436817284,0.0118436817284,0.0341025954535,0.0341025954535
2047,0.0117463598836,0.0117463598836,0.0338804726958,0.0338804726958,0.0117463598836,0.0117463598836,0.0338804726958,0.0338804726958,0.0102683169668,0.0102683169668,0.0295690427109,0.0295690427109,0.0122352858416,0.0122352858416,0.0352266213494,0.0352266213494
2048,0.0119762017651,0.0119762017651,0.0345434143787,0.0345434143787,0.0119762017651,0.0119762017651,0.0345434143787,0.0345434143787,0.010528587796,0.010528587796,0.0303157258576,0.0303157258576,0.0126325564124,0.0126325564124,0.036366721774,0.036366721774
2049,0.0122069053369,0.0122069053369,0.035208841468,0.035208841468,0.0122069053369,0.0122069053369,0.035208841468,0.035208841468,0.0107924029659,0.0107924029659,0.0310724560189,0.0310724560189,0.0130349773727,0.0130349773727,0.0375214073488,0.0375214073488
2050,0.0124386378901,0.0124386378901,0.0358772364873,0.0358772364873,0.0124386378901,0.0124386378901,0.0358772364873,0.0358772364873,0.0110595992047,0.0110595992047,0.031838761267,0.031838761267,0.0134420409374,0.0134420409374,0.0386892128392,0.0386892128392
2051,0.0126711086151,0.0126711086151,0.0365477606436,0.0365477606436,0.0126711086151,0.0126711086151,0.0365477606436,0.0365477606436,0.011329763525,0.011329763525,0.0326134495957,0.0326134495957,0.013852981679,0.013852981679,0.0398679301126,0.0398679301126
2052,0.0129041079938,0.0129041079938,0.0372198096158,0.0372198096158,0.0129041079938,0.0129041079938,0.0372198096158,0.0372198096158,0.0116027189415,0.0116027189415,0.0333960065835,0.0333960065835,0.0142677564674,0.0142677564674,0.0410571582645,0.0410571582645
2053,0.0131378538988,0.0131378538988,0.0378940118224,0.0378940118224,0.0131378538988,0.0131378538988,0.0378940118224,0.0378940118224,0.0118785874464,0.0118785874464,0.0341867793688,0.0341867793688,0.0146882188335,0.0146882188335,0.0422620514112,0.0422620514112
2054,0.0133725169363,0.0133725169363,0.038570859349,0.038570859349,0.0133725169363,0.0133725169363,0.038570859349,0.038570859349,0.0121574262693,0.0121574262693,0.0349859291208,0.0349859291208,0.0151156277897,0.0151156277897,0.0434864278428,0.0434864278428
2055,0.0136082303117,0.0136082303117,0.0392507364053,0.0392507364053,0.0136082303117,0.0136082303117,0.0392507364053,0.0392507364053,0.0124392433308,0.0124392433308,0.0357934754815,0.0357934754815,0.0155504455112,0.0155504455112,0.044731734363,0.044731734363
2056,0.0138445386903,0.0138445386903,0.0399323296517,0.0399323296517,0.0138445386903,0.0138445386903,0.0399323296517,0.0399323296517,0.012723837802,0.012723837802,0.0366088370421,0.0366088370421,0.0159924597828,0.0159924597828,0.0459974309147,0.0459974309147
2057,0.0140811135525,0.0140811135525,0.0406146915272,0.0406146915272,0.0140811135525,0.0140811135525,0.0406146915272,0.0406146915272,0.0130110534718,0.0130110534718,0.0374315608355,0.0374315608355,0.0164412416819,0.0164412416819,0.0472823254566,0.0472823254566
2058,0.0143182061818,0.0143182061818,0.0412985468179,0.0412985468179,0.0143182061818,0.0143182061818,0.0412985468179,0.0412985468179,0.0133008994095,0.0133008994095,0.0382616704289,0.0382616704289,0.0168963958745,0.0168963958745,0.0485853053723,0.0485853053723
2059,0.0145560135815,0.0145560135815,0.0419844637482,0.0419844637482,0.0145560135815,0.0145560135815,0.0419844637482,0.0419844637482,0.0135933459553,0.0135933459553,0.0390990783011,0.0390990783011,0.0173574075351,0.0173574075351,0.0499049028586,0.0499049028586
