"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16"
2020,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465,134.891436465
2021,139.17371641,139.17371641,139.124737731,139.124737731,139.17371641,139.17371641,139.124737731,139.124737731,139.173875907,139.173875907,139.125198003,139.125198003,139.173875521,139.173875521,139.125196888,139.125196888
2022,143.527376888,143.527376888,143.427899497,143.427899497,143.527376888,143.527376888,143.427899497,143.427899497,143.528388278,143.528388278,143.430819542,143.430819542,143.528378592,143.528378592,143.430791582,143.430791582
2023,147.952682222,147.952682222,147.801210656,147.801210656,147.952682222,147.952682222,147.801210656,147.801210656,147.955436521,147.955436521,147.809166545,147.809166545,147.955383255,147.955383255,147.80901271,147.80901271
2024,152.449874814,152.449874814,152.244916402,152.244916402,152.449874814,152.449874814,152.244916402,152.244916402,152.455259837,152.455259837,152.260478496,152.260478496,152.455097928,152.455097928,152.26001072,152.26001072
2025,157.019177635,157.019177635,156.759224005,156.759224005,157.019177635,157.019177635,156.759224005,156.759224005,157.028016636,157.028016636,156.78477946,156.78477946,157.027651395,157.027651395,156.783723889,156.783723889
2026,161.679506523,161.679506523,161.362988737,161.362988737,161.679506523,161.679506523,161.362988737,161.362988737,161.692535825,161.692535825,161.400676424,161.400676424,161.691843784,161.691843784,161.398675799,161.398675799
2027,166.411760561,166.411760561,166.037144506,166.037144506,166.411760561,166.411760561,166.037144506,166.037144506,166.429605226,166.429605226,166.08878418,166.08878418,166.428433598,166.428433598,166.085396223,166.085396223
2028,171.215682525,171.215682525,170.781439296,170.781439296,171.215682525,171.215682525,170.781439296,170.781439296,171.238862976,171.238862976,170.848550236,170.848550236,171.237027768,171.237027768,170.843242173,170.843242173
2029,176.09096963,176.09096963,175.595556543,175.595556543,176.09096963,176.09096963,175.595556543,175.595556543,176.11991554,176.11991554,175.679397293,175.679397293,176.117198965,176.117198965,175.671538322,175.671538322
2030,181.037282553,181.037282553,180.479127349,180.479127349,181.037282553,181.037282553,180.479127349,180.479127349,181.072346721,181.072346721,180.580735543,180.580735543,181.068494383,181.068494383,180.569588645,180.569588645
2031,186.089810524,186.089810524,185.467171968,185.467171968,186.089810524,186.089810524,185.467171968,185.467171968,186.13129237,186.13129237,185.587432127,185.587432127,186.126009108,186.126009108,185.572141983,185.572141983
2032,191.221297043,191.221297043,190.532465471,190.532465471,191.221297043,191.221297043,190.532465471,190.532465471,191.269440496,191.269440496,190.672102695,190.672102695,191.262389397,191.262389397,190.65169276,190.65169276
2033,196.431781931,196.431781931,195.675010259,195.675010259,196.431781931,196.431781931,195.675010259,195.675010259,196.48678026,196.48678026,195.834604098,195.834604098,196.477581245,196.477581245,195.807972436,195.807972436
2034,201.721304696,201.721304696,200.894798778,200.894798778,201.721304696,201.721304696,200.894798778,200.894798778,201.783302664,201.783302664,201.074789391,201.074789391,201.77153162,201.77153162,201.040706061,201.040706061
2035,207.089905353,207.089905353,206.191816092,206.191816092,207.089905353,207.089905353,206.191816092,206.191816092,207.159001995,207.159001995,206.392512213,206.392512213,207.144190335,207.144190335,206.349617906,206.349617906
2036,212.586172737,212.586172737,211.614354054,211.614354054,212.586172737,212.586172737,211.614354054,211.614354054,212.662443578,212.662443578,211.835997526,211.835997526,212.644073092,212.644073092,211.782788524,211.782788524
2037,218.164914658,218.164914658,217.117326134,217.117326134,218.164914658,218.164914658,217.117326134,217.117326134,218.248384084,218.248384084,217.360011603,217.360011603,218.225893477,218.225893477,217.294858601,217.294858601
