"Years","Run_1","Run_2","Run_3","Run_4","Run_5","Run_6","Run_7","Run_8","Run_9","Run_10","Run_11","Run_12","Run_13","Run_14","Run_15","Run_16","Run_17","Run_18","Run_19","Run_20","Run_21","Run_22","Run_23","Run_24","Run_25","Run_26","Run_27","Run_28","Run_29","Run_30","Run_31","Run_32","Run_33","Run_34","Run_35","Run_36","Run_37","Run_38","Run_39","Run_40","Run_41","Run_42","Run_43","Run_44","Run_45","Run_46","Run_47","Run_48","Run_49","Run_50","Run_51","Run_52","Run_53","Run_54","Run_55","Run_56","Run_57","Run_58","Run_59","Run_60","Run_61","Run_62","Run_63","Run_64","Run_65","Run_66","Run_67","Run_68","Run_69","Run_70","Run_71","Run_72","Run_73","Run_74","Run_75","Run_76","Run_77","Run_78","Run_79","Run_80","Run_81","Run_82","Run_83","Run_84","Run_85","Run_86","Run_87","Run_88","Run_89","Run_90","Run_91","Run_92","Run_93","Run_94","Run_95","Run_96","Run_97","Run_98","Run_99","Run_100","Run_101","Run_102","Run_103","Run_104","Run_105","Run_106","Run_107","Run_108","Run_109","Run_110","Run_111","Run_112","Run_113","Run_114","Run_115","Run_116","Run_117","Run_118","Run_119","Run_120","Run_121","Run_122","Run_123","Run_124","Run_125","Run_126","Run_127","Run_128"
2020,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154,1.247154
2021,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.28071857961,1.30559476677,1.30479731811,1.30565672005,1.30485792733,1.27066391304,1.27095366593,1.2707087907,1.27099766471,1.30704451572,1.3062035557,1.30710713054,1.30626481157,1.27232294352,1.27255898944,1.2723686873,1.27260382706,1.30725940432,1.30641295154,1.30732207017,1.30647425784,1.27244237129,1.27267469667,1.27248816892,1.27271958651,1.30870425472,1.30781463264,1.30876757424,1.30787657817,1.27409541997,1.27427449145,1.27414207261,1.27432020979,1.30559476677,1.30479731811,1.30565672005,1.30485792733,1.26649211975,1.26691782974,1.26653473908,1.26695964337,1.30704451572,1.3062035557,1.30710713054,1.30626481157,1.26817603337,1.2685467335,1.26821954733,1.26858941257,1.30725940432,1.30641295154,1.30732207017,1.30647425784,1.26828356291,1.26865080391,1.26832713001,1.26869353441,1.30870425472,1.30781463264,1.30876757424,1.30787657817,1.26996136699,1.27027406541,1.27000581716,1.2703176506
2022,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.31201393483,1.40493462803,1.40057217122,1.40588071834,1.40148316667,1.28319211053,1.28440849799,1.28370925113,1.28491047215,1.40959440308,1.4050332354,1.41055509055,1.40595834139,1.28919263106,1.29011237647,1.28973420365,1.29063736027,1.41073343158,1.40613231685,1.41169540727,1.40705871737,1.28970243445,1.29059827018,1.29024563523,1.29112479214,1.41536744917,1.4105704297,1.41634369501,1.41151064153,1.29566660192,1.29627033851,1.29623362469,1.29681932998,1.40493462803,1.40057217122,1.40588071834,1.40148316667,1.26816677499,1.27013513143,1.26861944295,1.27057653936,1.40959440308,1.4050332354,1.41055509055,1.40595834139,1.27432672297,1.27598525902,1.27480541432,1.27645108998,1.41073343158,1.40613231685,1.41169540727,1.40705871737,1.27475397882,1.27639144766,1.27523424382,1.2768587575,1.41536744917,1.4105704297,1.41634369501,1.41151064153,1.2808764566,1.28220886759,1.28138209031,1.28270002327
2023,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.34152112633,1.53266966772,1.52238386302,1.53671514796,1.526234356,1.29343669598,1.29568532685,1.29515738361,1.29735019967,1.54117758129,1.53049154846,1.54529283261,1.53440921716,1.3056099686,1.30714586771,1.30747794147,1.30894632891,1.54415052465,1.53335003737,1.54827260675,1.53727483816,1.30680153147,1.30827143002,1.3086801855,1.31008176926,1.55260025989,1.54140734569,1.55678986006,1.5453972936,1.31888509994,1.31965686316,1.32090570738,1.32159824294,1.53266966772,1.52238386302,1.53671514796,1.526234356,1.26311296557,1.26716713792,1.26444109421,1.2684721784,1.54117758129,1.53049154846,1.54529283261,1.53440921716,1.27570778913,1.27900680961,1.27719726665,1.28045947714,1.54415052465,1.53335003737,1.54827260675,1.53727483816,1.27665913543,1.27990202597,1.27815870102,1.28136393833,1.55260025989,1.54140734569,1.55678986006,1.5453972936,1.28916216345,1.29166521622,1.29081722419,1.29326979874
2024,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.36961660833,1.67709961143,1.65960602947,1.68750471921,1.669439537,1.30405629163,1.30711001067,1.30770660592,1.3106441495,1.68949091603,1.67140471912,1.70007551761,1.68141154045,1.32358182491,1.32539301881,1.32770492859,1.32935520884,1.6952494813,1.67693633666,1.70585195917,1.68696314019,1.32574217336,1.32742302849,1.32990252484,1.33141913845,1.70754653439,1.68865509593,1.7183209623,1.69884846537,1.34511864792,1.34558658601,1.3497297321,1.34999245013,1.67709961143,1.65960602947,1.68750471921,1.669439537,1.25572732494,1.26191852703,1.25810625865,1.2643086773,1.68949091603,1.67140471912,1.70007551761,1.68141154045,1.27602161539,1.28088468133,1.27893170663,1.28375148563,1.6952494813,1.67693633666,1.70585195917,1.68696314019,1.27769130847,1.28244587693,1.28063603674,1.28534380531,1.70754653439,1.68865509593,1.7183209623,1.69884846537,1.29783795317,1.30129489686,1.30128924161,1.30464928045
2025,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.39659501197,1.82955443385,1.80441659812,1.84999304182,1.82366111075,1.3158383196,1.31937741339,1.32208493918,1.32543448752,1.84554743803,1.81965697108,1.86632107012,1.83922746208,1.34342391762,1.3451275885,1.35076268114,1.35216175878,1.85500893607,1.82874694436,1.87581276753,1.84835543429,1.34682107936,1.34830961527,1.3542527501,1.3554274852,1.87087337876,1.84388005762,1.8919948643,1.86379898603,1.37421448702,1.37391419713,1.38267664033,1.38195907426,1.82955443385,1.80441659812,1.84999304182,1.82366111075,1.24807374134,1.2562193902,1.25136477819,1.25964927112,1.84554743803,1.81965697108,1.86632107012,1.83922746208,1.27679263351,1.28296993089,1.28133377027,1.28750960456,1.85500893607,1.82874694436,1.87581276753,1.84835543429,1.27936250081,1.2853628062,1.28398943031,1.28997840662,1.87087337876,1.84388005762,1.8919948643,1.86379898603,1.30790595473,1.31198387404,1.31371835327,1.31765359767
2026,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.42232127109,1.98403606109,1.95136097598,2.01802714426,1.98332249679,1.32891445254,1.33262741969,1.33838597023,1.34181925619,2.00319110073,1.96964135576,2.03769946776,2.00210993564,1.3649345526,1.36619240807,1.37647313494,1.37721795706,2.01719631205,1.98310470617,2.05174216938,2.01562853601,1.36980949199,1.37074978997,1.38153665602,1.38194398629,2.03619273939,2.00125454093,2.07122924396,2.03425803324,1.40563213708,1.40417933846,1.41929049661,1.41709863993,1.98403606109,1.95136097598,2.01802714426,1.98332249679,1.24119315265,1.25101320746,1.24514869418,1.25525676573,2.00319110073,1.96964135576,2.03769946776,2.00210993564,1.27865726932,1.28584965839,1.28490924131,1.29220491676,2.01719631205,1.98310470617,2.05174216938,2.01562853601,1.28229418893,1.28922677713,1.28872036691,1.29573438207,2.03619273939,2.00125454093,2.07122924396,2.03425803324,1.31961334815,1.32397450249,1.32830902356,1.33248051747
2027,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,1.44672207221,2.13655257719,2.09676033052,2.18727942252,2.14438237086,1.3431437488,1.34676304138,1.35645582019,1.35967601355,2.15836417389,2.11761135399,2.20985456221,2.16597368522,1.38774355921,1.38828534242,1.4044822493,1.40421994218,2.1776526015,2.13616781363,2.22921598145,2.18463240362,1.39430686057,1.39441424416,1.41137859699,1.41064525432,2.19928017438,2.15686911276,2.25157440093,2.20604290916,1.43875997714,1.4358624622,1.45900286041,1.45491343261,2.13655257719,2.09676033052,2.18727942252,2.14438237086,1.23556804281,1.24675393731,1.23998904825,1.25157397793,2.15836417389,2.11761135399,2.20985456221,2.16597368522,1.28180637548,1.28972114019,1.28979550753,1.2979785689,2.1776526015,2.13616781363,2.22921598145,2.18463240362,1.28666037986,1.29422045431,1.29495910799,1.30274609674,2.19928017438,2.15686911276,2.25157440093,2.20604290916,1.33286885248,1.3372138926,1.34496772071,1.34906169333
2028,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,1.47007872596,2.28461536386,2.238285364,2.35506863994,2.30436036354,1.35836049779,1.36167083954,1.3761274585,1.37887363202,2.30856640892,2.26122149667,2.3800625992,2.32831695745,1.41153065993,1.41115331812,1.43446849038,1.43289689649,2.33376158879,2.285480459,2.40537221395,2.35274994808,1.41996198441,1.41902214977,1.4434319344,1.44123794837,2.35750698544,2.30825084146,2.43010923615,2.37649125963,1.47310591138,1.46855422038,1.50131755465,1.49497534968,2.28461536386,2.238285364,2.35506863994,2.30436036354,1.23144444842,1.24369416673,1.23617712298,1.24891016697,2.30856640892,2.26122149667,2.3800625992,2.32831695745,1.28628297098,1.29465729748,1.29603969989,1.30489259842,2.33376158879,2.285480459,2.40537221395,2.35274994808,1.29248596335,1.30040108537,1.30274273621,1.31106638008,2.35750698544,2.30825084146,2.43010923615,2.37649125963,1.3475146867,1.35159572996,1.36355659089,1.36729173128
2029,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,1.49261133912,2.42675266361,2.37452585933,2.51933259562,2.46139153835,1.37438894899,1.3772233905,1.39722366375,1.39926726533,2.45234653283,2.39907690093,2.5462299713,2.48723553814,1.43601891509,1.43457623408,1.46613081723,1.46299276521,2.48394892371,2.42953001784,2.57795996883,2.51792376441,1.4464682422,1.4443266227,1.47736855314,1.47344184434,2.50931787288,2.45390100883,2.60455528816,2.54351128773,1.50827126775,1.50192243959,1.54578573403,1.53689613297,2.42675266361,2.37452585933,2.51933259562,2.46139153835,1.22890280674,1.24193711615,1.2338296344,1.24741170832,2.45234653283,2.39907690093,2.5462299713,2.48723553814,1.29203312393,1.30064096295,1.30362757608,1.31294791372,2.48394892371,2.42953001784,2.57795996883,2.51792376441,1.29969836846,1.30773536021,1.31204435766,1.32068478749,2.50931787288,2.45390100883,2.60455528816,2.54351128773,1.36335761038,1.36697707339,1.38390791635,1.38703347402
