"Run","Climate.Lenton?","Lenton Carbon.Ocean CO2 switch","Lenton Carbon.Terr CO2 switch","Lenton Carbon.photo temp switch","Lenton Carbon.temp-resp switch soil","Lenton Carbon.temp-resp switch veg","Permafrost dynamics.permafrost switch"
1,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0
3,0,0,0,0,0,0,1
4,0,1,0,0,0,0,1
5,0,0,1,0,0,0,0
6,0,1,1,0,0,0,0
7,0,0,1,0,0,0,1
8,0,1,1,0,0,0,1
9,0,0,0,0,0,1,0
10,0,1,0,0,0,1,0
11,0,0,0,0,0,1,1
12,0,1,0,0,0,1,1
13,0,0,1,0,0,1,0
14,0,1,1,0,0,1,0
15,0,0,1,0,0,1,1
16,0,1,1,0,0,1,1
17,0,0,0,0,1,0,0
18,0,1,0,0,1,0,0
19,0,0,0,0,1,0,1
20,0,1,0,0,1,0,1
21,0,0,1,0,1,0,0
22,0,1,1,0,1,0,0
23,0,0,1,0,1,0,1
24,0,1,1,0,1,0,1
25,0,0,0,0,1,1,0
26,0,1,0,0,1,1,0
27,0,0,0,0,1,1,1
28,0,1,0,0,1,1,1
29,0,0,1,0,1,1,0
30,0,1,1,0,1,1,0
31,0,0,1,0,1,1,1
32,0,1,1,0,1,1,1
33,0,0,0,1,0,0,0
34,0,1,0,1,0,0,0
35,0,0,0,1,0,0,1
36,0,1,0,1,0,0,1
37,0,0,1,1,0,0,0
38,0,1,1,1,0,0,0
39,0,0,1,1,0,0,1
40,0,1,1,1,0,0,1
41,0,0,0,1,0,1,0
42,0,1,0,1,0,1,0
43,0,0,0,1,0,1,1
44,0,1,0,1,0,1,1
45,0,0,1,1,0,1,0
46,0,1,1,1,0,1,0
47,0,0,1,1,0,1,1
48,0,1,1,1,0,1,1
49,0,0,0,1,1,0,0
50,0,1,0,1,1,0,0
51,0,0,0,1,1,0,1
52,0,1,0,1,1,0,1
53,0,0,1,1,1,0,0
54,0,1,1,1,1,0,0
55,0,0,1,1,1,0,1
56,0,1,1,1,1,0,1
57,0,0,0,1,1,1,0
58,0,1,0,1,1,1,0
59,0,0,0,1,1,1,1
60,0,1,0,1,1,1,1
61,0,0,1,1,1,1,0
62,0,1,1,1,1,1,0
63,0,0,1,1,1,1,1
64,0,1,1,1,1,1,1
65,1,0,0,0,0,0,0
66,1,1,0,0,0,0,0
67,1,0,0,0,0,0,1
68,1,1,0,0,0,0,1
69,1,0,1,0,0,0,0
70,1,1,1,0,0,0,0
71,1,0,1,0,0,0,1
72,1,1,1,0,0,0,1
73,1,0,0,0,0,1,0
74,1,1,0,0,0,1,0
75,1,0,0,0,0,1,1
76,1,1,0,0,0,1,1
77,1,0,1,0,0,1,0
78,1,1,1,0,0,1,0
79,1,0,1,0,0,1,1
80,1,1,1,0,0,1,1
81,1,0,0,0,1,0,0
82,1,1,0,0,1,0,0
83,1,0,0,0,1,0,1
84,1,1,0,0,1,0,1
85,1,0,1,0,1,0,0
86,1,1,1,0,1,0,0
87,1,0,1,0,1,0,1
88,1,1,1,0,1,0,1
89,1,0,0,0,1,1,0
90,1,1,0,0,1,1,0
91,1,0,0,0,1,1,1
92,1,1,0,0,1,1,1
93,1,0,1,0,1,1,0
94,1,1,1,0,1,1,0
95,1,0,1,0,1,1,1
96,1,1,1,0,1,1,1
97,1,0,0,1,0,0,0
98,1,1,0,1,0,0,0
99,1,0,0,1,0,0,1
100,1,1,0,1,0,0,1
101,1,0,1,1,0,0,0
102,1,1,1,1,0,0,0
103,1,0,1,1,0,0,1
104,1,1,1,1,0,0,1
105,1,0,0,1,0,1,0
106,1,1,0,1,0,1,0
107,1,0,0,1,0,1,1
108,1,1,0,1,0,1,1
109,1,0,1,1,0,1,0
110,1,1,1,1,0,1,0
111,1,0,1,1,0,1,1
112,1,1,1,1,0,1,1
113,1,0,0,1,1,0,0
114,1,1,0,1,1,0,0
115,1,0,0,1,1,0,1
116,1,1,0,1,1,0,1
117,1,0,1,1,1,0,0
118,1,1,1,1,1,0,0
119,1,0,1,1,1,0,1
120,1,1,1,1,1,0,1
121,1,0,0,1,1,1,0
122,1,1,0,1,1,1,0
123,1,0,0,1,1,1,1
124,1,1,0,1,1,1,1
125,1,0,1,1,1,1,0
126,1,1,1,1,1,1,0
127,1,0,1,1,1,1,1
128,1,1,1,1,1,1,1
