Year,CO2 ssp370,CO2 ssp119,CO2 ssp126,CO2 ssp245,CO2 ssp585
2015,10.87736224,10.87736224,10.87736224,10.87736224,10.87736224
2016,10.59082923,10.59082923,10.59082923,10.59082923,10.59082923
2017,10.72185746,10.72185746,10.72185746,10.72185746,10.72185746
2018,10.83817996,10.83817996,10.83817996,10.83817996,10.83817996
2019,10.99675397,10.99675397,10.99675397,10.99675397,10.99675397
2020,10.47118036,10.47118036,10.47118036,10.47118036,10.47118036
2021,10.95787226,10.95787226,10.95787226,10.95787226,10.95787226
2022,11.00707581,11.00707581,11.00707581,11.00707581,11.00707581
2023,12.84268414,8.348624887,10.21953077,11.49515562,12.46379798
2024,13.07117545,7.974392556,10.09583695,11.58909236,12.72581628
2025,13.29330908,7.609527923,9.965555656,11.67618129,13.00286448
2026,13.50922803,7.253890381,9.828901919,11.75647063,13.29438253
2027,13.71907554,6.907339098,9.6860911,11.83000866,13.59980954
2028,13.92299508,6.569733023,9.537338889,11.89684376,13.91858376
2029,14.12113032,6.240930879,9.382861301,11.95702438,14.2501426
2030,14.31362518,5.92079117,9.222874683,12.01059906,14.59392262
2031,14.50062377,5.609172176,9.057595708,12.05761641,14.94935952
2032,14.68227045,5.305931955,8.887241377,12.09812513,15.31588814
2033,14.85870977,5.010928343,8.71202902,12.13217399,15.69294248
2034,15.03008653,4.724018953,8.532176294,12.15981187,16.07995571
2035,15.19654574,4.445061178,8.347901184,12.1810877,16.4763601
2036,15.35823262,4.173912186,8.159422005,12.1960505,16.88158711
2037,15.51529264,3.910428924,7.966957397,12.20474939,17.29506733
2038,15.66787146,3.654468118,7.770726331,12.20723354,17.71623051
2039,15.81611498,3.405886269,7.570948104,12.20355223,18.14450553
2040,15.96016931,3.164539658,7.367842341,12.19375481,18.57932044
2041,16.10018079,2.930284342,7.161628996,12.1778907,19.02010243
2042,16.23629599,2.702976159,6.952528352,12.15600943,19.46627783
2043,16.36866168,2.482470721,6.740761018,12.12816058,19.91727213
2044,16.49742486,2.26862342,6.526547931,12.09439382,20.37250997
2045,16.62273276,2.061289424,6.310110358,12.05475893,20.83141513
2046,16.74473282,1.860323681,6.091669892,12.00930573,21.29341054
2047,16.8635727,1.665580916,5.871448456,11.95808415,21.75791829
2048,16.9794003,1.47691563,5.649668299,11.90114419,22.22435961
2049,17.09236371,1.294182104,5.426552,11.83853593,22.69215486
2050,17.20261128,1.117234396,5.202322464,11.77030954,23.16072359
2051,17.31029154,0.945926341,4.977202926,11.69651526,23.62948447
2052,17.41555327,0.780111554,4.751416948,11.61720342,24.09785532
2053,17.51854547,0.619643424,4.525188419,11.53242442,24.56525312
2054,17.61941734,0.464375122,4.298741559,11.44222877,25.03109399
2055,17.71831833,0.314159594,4.072300913,11.34666703,25.4947932
2056,17.8153981,0.168849565,3.846091356,11.24578986,25.95576517
2057,17.91080651,0.028297536,3.62033809,11.13964798,26.41342347
2058,18.00469367,-0.107644212,3.395266645,11.02829223,26.86718081
2059,18.09720989,-0.239123621,3.17110288,10.91177349,27.31644907
2060,18.18850574,-0.366288856,2.948072982,10.79014274,27.76063926
2061,18.27873195,-0.489288303,2.726403464,10.66345106,28.19916154
2062,18.36803953,-0.608270571,2.506321169,10.53174957,28.63142522
2063,18.45657967,-0.723384492,2.288053268,10.3950895,29.05683877
2064,18.5445038,-0.834779118,2.07182726,10.25352216,29.47480979
2065,18.63196358,-0.942603725,1.85787097,10.10709894,29.88474504
2066,18.71911087,-1.047007812,1.646412555,9.955871305,30.28605043
2067,18.80609776,-1.148141098,1.437680495,9.799890802,30.67813102
2068,18.89307657,-1.246153525,1.231903603,9.639209065,31.060391
2069,18.98019982,-1.341195258,1.029311017,9.473877807,31.43223374
2070,19.06762029,-1.433416684,0.830132204,9.303948823,31.79306174
2071,19.15549093,-1.522968411,0.634596958,9.129473988,32.14227664
2072,19.24396495,-1.610001272,0.442935403,8.950505259,32.47927924
2073,19.33319576,-1.694666318,0.25537799,8.767094677,32.8034695
2074,19.42333702,-1.777114827,0.072155496,8.579294361,33.11424651
2075,19.51454257,-1.857498296,-0.106500969,8.387156514,33.41100851
2076,19.6069665,-1.935968445,-0.280359972,8.190733419,33.6931529
2077,19.70076312,-2.012677216,-0.44918975,7.99007744,33.96007622
2078,19.79608696,-2.087776775,-0.61275821,7.785241024,34.21117417
2079,19.89309275,-2.161419508,-0.770832935,7.5762767,34.44584158
2080,19.99193546,-2.233758023,-0.923181176,7.363237077,34.66347244
2081,20.09277029,-2.304945154,-1.06956986,7.146174845,34.8634599
2082,20.19575265,-2.375133952,-1.209765581,6.925142777,35.04519623
2083,20.30103817,-2.444477694,-1.343534609,6.700193727,35.20807288
2084,20.40878269,-2.513129878,-1.470642885,6.47138063,35.35148042
2085,20.51914231,-2.581244225,-1.590856021,6.238756503,35.47480859
2086,20.6322733,-2.648974676,-1.703939302,6.002374445,35.57744626
2087,20.74833219,-2.716475396,-1.809657685,5.762287635,35.65878148
2088,20.86747572,-2.783900773,-1.907775797,5.518549334,35.71820142
2089,20.98986084,-2.851405415,-1.998057939,5.271212887,35.75509241
2090,21.11564475,-2.919144155,-2.080268084,5.020331716,35.76883991
2091,21.24498483,-2.987272045,-2.154169876,4.765959328,35.75882857
2092,21.37803871,-3.055944362,-2.219526631,4.50814931,35.72444214
2093,21.51496425,-3.125316604,-2.276101338,4.24695533,35.66506356
2094,21.65591949,-3.195544491,-2.323656657,3.98243114,35.58007489
2095,21.80106274,-3.266783966,-2.361954919,3.714630571,35.46885736
2096,21.9505525,-3.339191194,-2.39075813,3.443607536,35.33079133
2097,22.1045475,-3.412922561,-2.409827966,3.16941603,35.16525632
2098,22.26320669,-3.488134677,-2.418925774,2.892110129,34.97163099
2099,22.42668924,-3.564984374,-2.417812575,2.611743991,34.74929316
2100,0,0,0,0,0
