TIME,Emissions control rate (_),savings rate (s)
2020,0.05,0.25636878
2025,0.1,0.25373313
2030,0.24,0.25114651
2035,0.274689312,0.24956814
2040,0.309920688,0.24842159
2045,0.348902744,0.24760613
2050,0.391944268,0.247041
2055,0.427147121,0.24678246
2060,0.464499818,0.24676827
2065,0.504017031,0.24698039
2070,0.545701276,0.24740432
2075,0.589543379,0.24802802
2080,0.63552221,0.24884059
2085,0.683604961,0.24983004
2090,0.733748878,0.25097922
2095,0.785906171,0.25225787
2100,0.84003677,0.25360651
2105,0.889296463,0.25514699
2110,0.939909785,0.25673945
2115,0.991942151,0.25826798
2120,1.045556127,0.25949777
2125,1.1,0.25999313
2130,1.1,0.26156271
2135,1.1,0.2629453
2140,1.1,0.26423807
2145,1.1,0.26549395
2150,1.1,0.26673952
2155,1.1,0.26798618
2160,1.1,0.26923696
2165,1.1,0.27049713
2170,1.1,0.27176082
2175,1.1,0.2730181
2180,1.1,0.27425133
2185,1.1,0.27542799
2190,1.1,0.27648707
2195,1.1,0.27731305
2200,1.1,0.27768706
2205,1.05,0.28
2210,1.05,0.28
2215,1.05,0.28
2220,1.05,0.28
2225,1.05,0.28
2230,1.05,0.28
2235,1.05,0.28
2240,1.05,0.28
2245,1.05,0.28
2250,1.05,0.28
2255,1.05,0.28
2260,1.05,0.28
2265,1.05,0.28
2270,1.05,0.28
2275,1.05,0.28
2280,1.05,0.28
2285,1.05,0.28
2290,1.05,0.28
2295,1.05,0.28
2300,1.05,0.28
2305,1,0.28
2310,1,0.28
2315,1,0.28
2320,1,0.28
2325,1,0.28
2330,1,0.28
2335,1,0.28
2340,1,0.28
2345,1,0.28
2350,1,0.28
2355,1,0.28
2360,1,0.28
2365,1,0.28
2370,1,0.28
2375,1,0.28
2380,1,0.28
2385,1,0.28
2390,1,0.28
2395,1,0.28
2400,1,0.28
2405,1,0.28
2410,1,0.28
2415,1,0.28
2420,1,0.28
